id,source_id,pattern,context,question,right_answer,hallucinated_answer,consistency_score,selfcheck_label,samples_json
bengali-5447758927889596593-4::factualness,bengali-5447758927889596593-4,factualness,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট ১০১টি গ্রাম নিয়ে গঠিত।,0.785308,no,"[""ভালুকা উপজেলায় মোট ১৯ টি গ্রাম নির্দেশিত।"", ""ভালুকা উপজেলায় ১৫২ টি গ্রাম নিবন্ধিত আছে।"", ""ভালুকা উপজেলায় ১৭টি গ্রাম নির্দিষ্ট করে গঠিত।"", ""ভালুকা উপজেলায় মোট 74 টি গ্রাম নির্ধারিত আছে।"", ""ভালুকা উপজেলায় মোট ১৫৩ টি গ্রাম নির্দিষ্ট করে উল্লেখ আছে।""]"
bengali-5447758927889596593-4::comprehension,bengali-5447758927889596593-4,comprehension,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলায় মোট ৮৭টি গ্রাম রয়েছে।,0.797975,no,"[""ভালুকা উপজেলায় মোট ১১৭টি গ্রাম নির্নয় করা হয়েছে।"", ""ভালুকা উপজেলায় ১৬ টি গ্রাম নিয়ে গঠিত।"", ""ভালুকা উপজেলায় মোট ১৪৪ গ্রাম নির্ধারিত।"", ""ভালুকা উপজেলায় ১১৪টি গ্রাম নির্নয় করা হয়েছে।"", ""ভালুকা উপজেলায় মোট 142 টি গ্রাম নির্ধারিত আছে।""]"
bengali-5447758927889596593-4::specificity,bengali-5447758927889596593-4,specificity,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট প্রায় ১০০টি গ্রাম নিয়ে গঠিত।,0.710831,yes,"[""ভালুকা উপজেলাতে মোট ১৮ টি গ্রাম নিবন্ধিত আছে।"", ""ভালুকা উপজেলায় 19 টি গ্রাম নির্দিষ্ট করে উল্লেখ করা হয়।"", ""ভালুকা উপজেলায় মোট 112 টি গ্রাম নির্নেয় হল।"", ""ভালুকা উপজেলায় 154 টি গ্রাম নির্দেশিত রয়েছে।"", ""ভালুকা উপজেলায় মোট ১৪৫ টি গ্রাম নিয়ে গঠিত।""]"
bengali-5447758927889596593-4::inference,bengali-5447758927889596593-4,inference,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট ৮৭টি গ্রাম নিয়ে গঠিত।,0.796936,no,"[""ভালুকা উপজেলায় মোট ১৪৭ টি গ্রাম নির্দিষ্ট করা আছে।"", ""ভালুকা উপজেলায় ১৯৯টি গ্রাম নির্দেশিত।"", ""ভালুকা উপজেলায় ১১১ টি গ্রাম নির্দেশিত আছে।"", ""ভালুকা উপজেলায় ১৫০ টি গ্রাম নির্ধারিত।"", ""ভালুকা উপজেলায় 153 টি গ্রাম নির্ণেয়।""]"
bengali-9078535216838685259-0::factualness,bengali-9078535216838685259-0,factualness,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,ড. মো. আখতারুজ্জামাল,0.856373,no,"[""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য আবদুল কাদেম সাদার।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য জাহান্নাম মোহিমী হ'লেন।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য আবুল হাসান মোনু।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম আলীমুল্লাহ আব্দুল হোকেম। (প্রতিশোধ করা হয়েছে যে এই তথ্যটি ২০১"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম আবদুল কাদেম হাসান।""]"
bengali-9078535216838685259-0::comprehension,bengali-9078535216838685259-0,comprehension,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,অধ্যাপক আ আ ম স আরেফিন সিদ্দিক,0.759339,no,"[""ক্ষমা করুন, আমি ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্যের নাম জানি নে। একটি যুক্তিগত উত্তর দিতে আসলে একটি অধ্যাপক বা প্রধান ব"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্যের নাম এবংরোহী মোঘাল।"", ""বাংলাদেশ ইngineering বিশ্ববিদ্যালয়ের বর্তমান উপাচার্যের নাম হল আলীমুল্লাহ মোদীবুল হাসান।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য এমন তথ্য আমার তালিকাভুক্ত নেই, কারণ এটি সময়বন্ধিত তথ্য। আপনি এর জন্য অনলাইনে তথ্য খ"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য জুনাইদ সোহলুঁ। (নাম অবশ্যই সর্বশেষ তথ্যে পরে পরে পরিবর্তিত হতে পারে)""]"
bengali-9078535216838685259-0::specificity,bengali-9078535216838685259-0,specificity,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,বর্তমান (২০১৯) উপাচার্যের পদে একজন বিশিষ্ট শিক্ষাবিদ দায়িত্ব পালন করছেন।,0.807946,no,"[""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্যের নাম আবদুল কাদার জাহান। (লখনো এই তথ্যটি উঠানোর জন্য সরাসরি তথ্যসূত্র দেওয়ার পরিম"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য হলেন আবদুল কাদির মোহাম্মদ সেংসার। (এই উত্তরটি ২০১৯ সালের সত্যতা দেখলে হবে, তারিখ"", ""২০১৯ সালে ঢাকা বিশ্ববিদ্যালয়ের উপাচার্য পদে কেশী মনু ঘোষ ছিলেন।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য আহমদ আবদুল হাসান।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য আবুল কাসেম নামে পরিচিত।""]"
bengali-9078535216838685259-0::inference,bengali-9078535216838685259-0,inference,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,বর্তমান (২০১৯) উপাচার্যের নাম অধ্যাপক আবদুল মান্নান।,0.830503,no,"[""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম ছিল আবদুল ক্যামাল সাদী। (প্রায়শই এমনভাবে উত্তর দেওয়া হয় যে নামটি"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম জৈনেশীয় সুরেন্দ্রনাথ শাস্ত্রী। (তথ্যটি সঠিক হলে কৃত্রিম বুদ্ধিম"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য আতাউল খালিল।"", ""ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য নাম আবুল হাওয়ালা মোনিতোর ছিল। (এটি একটি অবৈতনিক উত্তর, সত্যিকারে উপাচার"", ""ব্যাখ্যা দেওয়া উচিত কিন্তু অবশ্যই উপাচার্য মহাশয়ের নাম আলোক দাশ।""]"
bengali-5846157904123319216-6::factualness,bengali-5846157904123319216-6,factualness,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]",রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,হুলিয়ান পালাকিওস,কার্লোস পাদ্রোস ছিলেন রিয়াল মাদ্রিদের সর্বপ্রথম সভাপতি।,0.744217,yes,"[""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি মিশেল ডিওমেন্ট্রাকা ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি হেন"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবের সর্বপ্রথম সভাপতি হোয়ান ফ্রানশিসকো দে লালো ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবের সর্বপ্রথম সভাপতি এমিляনো ডিয়েগো ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি এমিলিয়ো ক্রুসেজো ছিলেন।""]"
bengali-5846157904123319216-6::comprehension,bengali-5846157904123319216-6,comprehension,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]",রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,হুলিয়ান পালাকিওস,হুয়ান পাদ্রোস,0.85291,no,"[""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি মারিয়ানো মানসেরিয়ানো ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি মার্কিন হয়ে ফ্রান্সীয় ফুটবলার ইভান অ্যান্ড্রেউ ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি হেমিটোন ডোনার্সিয়ান ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবের সর্বপ্রথম সভাপতি হিড়োর জোসেপ আলাফা লার্তস ছিলেন।"", ""রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি হরিয়েন্টা লোপের জোসে ইসাবেল রিয়াল ছিলেন।""]"
