idx,label,pattern,p_entail,p_neutral,p_contra
0,0,gold,0.17304,0.76646,0.0605
1,0,gold,0.01852,0.0091,0.97238
2,0,gold,0.93189,0.06424,0.00387
3,0,gold,0.8834,0.08798,0.02862
4,0,gold,0.83299,0.10426,0.06275
5,0,gold,0.92418,0.05572,0.0201
6,0,gold,0.60966,0.05496,0.33537
7,0,gold,0.10208,0.86312,0.0348
8,0,gold,0.84545,0.10939,0.04516
9,0,gold,0.99272,0.00604,0.00124
10,0,gold,0.99086,0.00834,0.0008
11,0,gold,0.92868,0.06637,0.00495
12,0,gold,0.85377,0.11287,0.03336
13,0,gold,0.82694,0.14023,0.03282
14,0,gold,0.78527,0.0221,0.19263
15,0,gold,0.98847,0.00666,0.00487
16,0,gold,0.89448,0.08651,0.019
17,0,gold,0.97643,0.01852,0.00504
18,0,gold,0.7641,0.02762,0.20828
19,0,gold,0.97587,0.01136,0.01277
20,0,gold,0.22473,0.74264,0.03263
21,0,gold,0.97512,0.01772,0.00716
22,0,gold,0.48054,0.41913,0.10033
23,0,gold,0.94705,0.02997,0.02298
24,0,gold,0.91804,0.01776,0.0642
25,0,gold,0.72378,0.22127,0.05495
26,0,gold,0.87348,0.09686,0.02966
27,0,gold,0.79346,0.03569,0.17085
28,0,gold,0.54072,0.20684,0.25244
29,0,gold,0.99696,0.00265,0.00038
30,0,gold,0.17974,0.24233,0.57793
31,0,gold,0.94832,0.03536,0.01632
32,0,gold,0.54797,0.38555,0.06648
33,0,gold,0.64113,0.18084,0.17803
34,0,gold,0.06982,0.89846,0.03172
35,0,gold,0.97094,0.02319,0.00586
36,0,gold,0.1962,0.36423,0.43956
37,0,gold,0.24486,0.57547,0.17967
38,0,gold,0.2991,0.61792,0.08298
39,0,gold,0.83089,0.12643,0.04268
40,0,gold,0.96388,0.03474,0.00138
41,0,gold,0.39065,0.14498,0.46437
42,0,gold,0.92232,0.05582,0.02186
43,0,gold,0.76073,0.19286,0.04641
44,0,gold,0.8262,0.06835,0.10545
45,0,gold,0.98798,0.00999,0.00203
46,0,gold,0.40878,0.50281,0.08841
47,0,gold,0.89979,0.06966,0.03055
48,0,gold,0.45314,0.54234,0.00451
49,0,gold,0.69077,0.0766,0.23263
50,0,gold,0.72646,0.21437,0.05917
51,0,gold,0.97478,0.01551,0.00971
52,0,gold,0.87069,0.04543,0.08388
53,0,gold,0.31913,0.58468,0.09619
54,0,gold,0.98728,0.00821,0.0045
55,0,gold,0.50262,0.24116,0.25621
56,0,gold,0.69478,0.27421,0.03101
57,0,gold,0.97048,0.01631,0.01321
58,0,gold,0.73186,0.08879,0.17935
59,0,gold,0.80634,0.16336,0.0303
60,0,gold,0.94502,0.0246,0.03038
61,0,gold,0.4277,0.08861,0.4837
62,0,gold,0.8617,0.09334,0.04496
63,0,gold,0.89664,0.07564,0.02772
64,0,gold,0.24408,0.30169,0.45423
65,0,gold,0.77587,0.09087,0.13326
66,0,gold,0.91461,0.0285,0.05689
67,0,gold,0.96173,0.03116,0.00712
68,0,gold,0.15339,0.23757,0.60904
69,0,gold,0.99471,0.00454,0.00075
70,0,gold,0.92729,0.02452,0.04819
71,0,gold,0.71906,0.2635,0.01745
72,0,gold,0.95335,0.04164,0.005
73,0,gold,0.74921,0.14243,0.10836
74,0,gold,0.83007,0.0848,0.08513
75,0,gold,0.988,0.01098,0.00102
76,0,gold,0.88323,0.10377,0.013
77,0,gold,0.72044,0.18867,0.09088
78,0,gold,0.95423,0.03278,0.01299
79,0,gold,0.83432,0.06044,0.10525
80,0,gold,0.97779,0.01833,0.00387
81,0,gold,0.98769,0.00314,0.00917
82,0,gold,0.61607,0.31899,0.06493
83,0,gold,0.85435,0.08328,0.06237
84,0,gold,0.92076,0.06377,0.01548
85,0,gold,0.92092,0.06098,0.0181
86,0,gold,0.94445,0.05268,0.00287
87,0,gold,0.98752,0.00999,0.00249
88,0,gold,0.92989,0.03232,0.03779
89,0,gold,0.82263,0.0436,0.13377
90,0,gold,0.66467,0.3079,0.02743
91,0,gold,0.92698,0.0368,0.03622
92,0,gold,0.55246,0.39792,0.04961
93,0,gold,0.55834,0.21695,0.22471
94,0,gold,0.83817,0.04108,0.12075
95,0,gold,0.26055,0.51918,0.22027
96,0,gold,0.389,0.46649,0.14451
97,0,gold,0.95736,0.02165,0.02099
98,0,gold,0.52786,0.06504,0.4071
99,0,gold,0.14847,0.77034,0.08119
100,0,gold,0.93271,0.0587,0.00859
