id,question,deepseek_answer,gemma_answer,qwen_answer,correct_answer,deepseek_score,gemma_score,qwen_score
bengali-5447758927889596593-4,ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,৩০,৩৬ গ্রাম।,৩৪,১১০,0,0,0
bengali-9078535216838685259-0,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মোঃ আক্রামুল হাকে,ভূপেন্দ্র খাঁ।,ঈশানুল হক,মো. আখতারুজ্জামান,0,0,0
bengali-5846157904123319216-6,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,কন্ডে দে রামানোনেস,সেনোর জুয়ান।,আলফonso de,হুলিয়ান পালাকিওস,0,0,0
bengali--8629802684896762580-0,ওলন্দাজ-অস্ট্রেলীয় সামরিক কমান্ডো অফিসার উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড কবে জন্মগ্রহণ করেন ?,১৯৫০,১৮৯৭ সালে।,১৯১৬,"৬ ডিসেম্বর, ১৯১৭",0,0,0
bengali-7598272783189345090-0,ডাব্লিউডাব্লিউই কত সালে প্রতিষ্ঠিত হয় ?,১৯৪৮,১৯৮৭ সালে।,১৯৭৯,১৯৬৩ সালের ২৫ এপ্রিল,0,0,0
bengali--602111576961978859-5,ভাওয়াল সন্ন্যাসী মামলা কবে শেষ হয় ?,২০১৯ সালে,জানি না।,২০১৫,১৯৫১ সালে,0,0,0
bengali-2219441392212686141-0,ভুবন চিলের বৈজ্ঞানিক নাম কী ?,করাসিয়াস ক্যারাসিয়াস,Bubo bubo,Bougainvilleaspectabilis,Milvus migrans,0,0,0
bengali-2401284065373388325-2,বিশ্বের প্রথম কম্পিউটারের নাম কী ছিল ?,ENIAC,এনআইএমএস।,এনায়ক্স,অ্যাবাকাস,0,0,0
bengali--8333329746315209159-0,বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ের মোট ছাত্রছাত্রীর সংখ্যা কত ?,খুলনা প্রকৌশল ও প্রযুক্তি,জানা নেই।,অজানা,প্রায় ৬ হাজার,0,0,0
bengali-4749857637773712091-5,কার কাছে  রিং-স্পুংস-পা রাজবংশের পতন ঘটে ?,গৌর,মঙ্গলদের হাতে।,মুগলদের,ঝিগ-শাগ-পা-ত্শে-ব্র্তান-র্দো-র্জে,0,0,0
bengali--7124112135723354543-3,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম কী ?,না দেওয়া,নিকোলাস  হ্যালে।,সাহিত্যikut箧形框,স্যামুয়েল রিচমন্ড নোবেল,0,0,0
bengali-2573614511216597131-1,পীর গোরাচাঁদের বাবার নাম কি ছিল ?,গোপাল চন্দ্র,রঘুনাথ দাস ।,ঈশান ঘোষRoy,হজরত করিম উল্লাহ,0,0,0
bengali--4088972979448384532-2,দেবশ্রী রায়ের ডাক নাম কি ?,ডেবি শ্রী,রূপা,মায়েঈ,চুমকি,0,0,0
bengali--1990721472147920166-1,আজিজুল হক কলেজ কবে প্রতিষ্ঠিত হয় ?,১৯৭০,১৯৬২ সালে।,১৯৫৭,১৯৩৯ সালের জুলাই মাসে,0,0,0
bengali-8652082239846487292-2,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর কবে নির্মিত হয় ?,১৯৮২,১৯৫২ সালে।,১৯৪০-এর দশকে,১৯৩৭ সালে,0,0,0
bengali-69291154486973838-0,ঢাকার মোট আয়তন কত ?,২০ মিলিয়ন,৩০৬.৪ স্কয়ার কি.মি.,১৪০০平方公里,১৩৪ বর্গমাইল,0,0,0
bengali-718364632586215903-3,ঊনবিংশ শতাব্দীর বিশিষ্ট ভারতীয় হিন্দু ধর্মগুরু রামকৃষ্ণ পরমহংসের বাবার নাম কী ?,ক্ষেত্রানাথ,কেদারনাথ ।,খনুঈ রামতালে,ক্ষুদিরাম চট্টোপাধ্যায়,0,0,0
bengali-5118137145175085108-0,ভগিনী নিবেদিতা কোন সালে প্রথম ভারতবর্ষে আসেন ?,১৯৪০,১৯০২ সালে।,১৯০৫,১৮৯৮,0,0,0
bengali--1256061284728114612-1,ভারতীয় যোগী ও অদ্বৈত বেদান্তের গুরু সোহং স্বামীর বাবার নাম কী ?,নীর্মাল দাস,স্বামী বিবেকানন্দ।,শিশোর্ণকার,শশীভূষণ বন্দ্যোপাধ্যায়,0,0,0
bengali--5760143195786173994-1,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ কত সাল থেকে শুরু হয়েছিল ?,১৯১৩,১৯৯২ সাল।,১৯০৪,১৯১৫,0,0,0
bengali--3447038628370329440-0,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি কত সালে মুক্তি পায় ?",২০১৯,২০১৯ সালে।,สอง thousand,১৯৯৪,0,0,0
bengali--1772416294222806218-6,স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্রটির নাম কী ?,জাহির রাইহান,সুমন খান।,ঔরসিজ,সুকুমারী,0,0,0
bengali-4781769044090038527-8,হুগলী নদীর উৎস স্থল কোথায় ?,হুগলি নদীর উৎস স্থল,হিমালয় পর্বত ।,হিমালয়,জলঙ্গী নদীর সঙ্গমে,0,0,0
bengali-5229637452375837893-4,অবিভক্ত বাংলা কত সালে বিভক্ত হয় ?,১৯৪৭,১৯৪৭ সালে।,১৯৫২,১৯০৫,0,0,0
bengali-1771748160489305957-0,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের কোন জেলায় অবস্থিত ?,মানিকগাঁজ,পটুয়াখালী ।,চট্রগ্রাম,গাজীপুর,0,0,0
bengali--5918016160505759655-1,সুই সাম্রাজ্যের প্রতিষ্ঠাতা কে ছিলেন ?,সোভুজা দ্বারা,একটি বর্ণনা দিন।,সুইজারল্যান্ড,ওয়েন,0,0,0
bengali--666965897866853892-8,টম ক্রুজের প্রথম স্ত্রীর নাম কী ?,নিকোলে,মিশেল ম্যাকিনারি।,কেথি মাউন্টফিশেট,মিমি রজার্স,0,0,0
bengali-8671424860275717889-0,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর কোনটি ?,কলকাতা,বেতিয়া ।,ঠাণ্ডাহাটি,বারাসাত,0,0,0
bengali--7543076726572461825-0,গণিতবিদ আর্যভট্ট কবে জন্মগ্রহণ করেন ?,৪৭৬ খ্রিষ্টপূর্঵বর্ষ,৫ম শতাব্দী।,৪৭６ＣＥ,৪৭৬,0,0,0
bengali--9166124787929336642-2,ডাক্তার বিধান চন্দ্র রায় কোন কলেজ থেকে ডাক্তারি পড়েন ?,ডাক্তার বিধান চন্দ্র ডাক্তারি,ঢাকা মেডিক্যাল।,চট্টগ্রাম েডিকেল,কলকাতা মেডিক্যাল কলেজ,0,0,0
bengali-5441977494276432977-0,সৈয়দ আলী হোসেনী খামেনেয়ী কবে জন্মগ্রহণ করেন ?,১৬ অক্টোবার ১৯৩৭,১৯০২ সাল।,১৯৪২,১৭ জুলাই ১৯৩৯,0,0,0
bengali-8236827985141725370-9,সুভাষচন্দ্র বসুর স্ত্রীর নাম কি ছিল ?,আমৃতা দেবী,ইরমা বসু,আমিতা,এমিলি শেঙ্কল,0,0,0
bengali--4726387475085643566-2,কে প্রথম টেথিস সাগরের নামকরণ করেন ?,প্রতিটি সাগরের নামকরণ করেন,ফ্রান্সিস্কো ভ্যালিজ।,গ্যালিলেো,এডুয়ার্ড সুয়েস,0,0,0
bengali-6035887477073197072-0,দর্শনশাস্ত্রের জনক কাকে বলা হয় ?,প্লেটো,সোক্রেটিস,প্লেটো,পেরিপ্যাটেটিক,0,0,0
