id,source_id,pattern,context,question,right_answer,hallucinated_answer
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"জাতীয়  সংসদ নির্বাচন এগিয়ে আসলে জিয়া বাংলাদেশ জাতীয়তাবাদী দল গঠন করেন। জাগদলকে বিএনপির সাথে একীভূত করা হয়। রাষ্ট্রপতি জিয়া এই দলের সমন্বয়ক ছিলেন এবং এই দলের প্রথম চেয়ারম্যানের দায়িত্ব পালন করেন। অধ্যাপক একিউএম বদরুদ্দোজা চৌধুরী এর প্রথম মহাসচিব ছিলেন। জিয়ার এই দলে বাম, ডান, মধ্যপন্থি সকল প্রকার লোক ছিলেন। বিএনপির সবচেয়ে প্রধান বৈশিষ্ট্য ছিল এর নিয়োগ পদ্ধতি। প্রায় ৪৫ শতাংশ সদস্য শুধুমাত্র রাজনীতিতে যে নতুন ছিলেন তাই নয়, তারা ছিলেন তরুণ। [4] ১৯৭৮ সালের ১ সেপ্টেম্বর বিকাল ৫টায় রমনা রেস্তোরাঁয় বাংলাদেশ জাতীয়তাবাদী দলের প্রতিষ্ঠাতা তৎকালীন রাষ্ট্রপতি জিয়াউর রহমান এক সংবাদ সম্মেলনে আনুষ্ঠানিক ঘোষণাপত্র পাঠের মাধ্যমে বাংলাদেশ জাতীয়তাবাদী দলের যাত্রা শুরু করেন। জনাকীর্ণ সংবাদ সম্মেলনে তিনি ঘোষণাপত্র পাঠ ছাড়াও প্রায় দুই ঘণ্টা সাংবাদিকদের বিভিন্ন প্রশ্নের জবাব দেন। সংবাদ সম্মেলনে নতুন দলের আহ্বায়ক কমিটির চেয়ারম্যান হিসেবে তিনি প্রথমে ১৮ জন সদস্যের নাম এবং ১৯ সেপ্টেম্বর ওই ১৮ জনসহ ৭৬ সদস্য বিশিষ্ট আহ্বায়ক কমিটি ঘোষণা করেন। এখানে উল্লেখ্য, বিএনপি গঠন করার আগে জাতীয়তাবাদী গণতান্ত্রিক দল (জাগদল) নামে আরেকটি দল তৎকালীন উপ-রাষ্ট্রপতি বিচারপতি আবদুস সাত্তারকে সভাপতি করে গঠিত হয়েছিল। ২৮ আগস্ট ১৯৭৮ সালে নতুন দল গঠন করার লক্ষ্যে জাগদলের বর্ধিত সভায় ওই দলটি বিলুপ্ত ঘোষণার মাধ্যমে দলের এবং এর অঙ্গ সংগঠনের সকল সদস্য জিয়াউর রহমান ঘোষিত নতুন দলে যোগদানের সিদ্ধান্ত নেওয়া হয়।",বাংলাদেশ জাতীয়তাবাদী দলের সর্বপ্রথম চেয়ারম্যান কে ছিলেন ?,জিয়া,বাংলাদেশ জাতীয়তাবাদী দলের সর্বপ্রথম চেয়ারম্যান ছিলেন বিচারপতি আবদুস সাত্তার।
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"ডান|থাম্ব|300x300পিক্সেল| Altai Tavan Bogd National Park, মঙ্গোলিয়া.তে কাজাখ ঈগলশিকারী কাজাখ ভাষা তুর্কী ভাষা পরিবার -এর একটি সদস্য ভাষা যেমন, উজবেক, কিরগিজ, তাতার, উইগুর, তুর্কী, আজেরী, তুর্কমেন এবং আরো কিছু ভাষা যেগুলি পূর্ব ইউরোপ, মধ্য এশিয়া, সিঞ্চিয়াং ও সাইবেরিয়াতে ব্যবহৃত হয় এগুলির মতই।",কাজাখ জাতির অধিবাসীদের ভাষা কী ?,কাজাখ,কাজাখ জাতির অধিবাসীদের ভাষা হলো তুর্কী।
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"সুই সম্রাট ওয়েন (隋文帝; ২১ জুলাই, ৫৪১ – ১৩ আগস্ট, ৬০৪) ছিলেন চীনের সুই সাম্রাজ্যের (৫৮১ – ৬১৮) প্রতিষ্ঠাতা ও প্রথম সম্রাট। তার পারিবারিক নাম ছিল ইয়াং জিয়ান, সিয়ানবেই নাম পালিউরু জিয়ান, এবং ডাকনাম নালুওইয়ান। তিনি বৌদ্ধ ধর্মের অনুসারী ছিলেন এবং তার সাম্রাজ্যে বৌদ্ধ ধর্ম প্রচারের জন্য কাজ করেন।[2] জিন সাম্রাজ্য সময়কালের পর চীনকে পুনরায় একত্রিত করার জন্য তাকে চীনের ইতিহাসের একজন গুরুত্বপূর্ণ শাসক বলে অভিহিত করা হয়। তার শাসনামলে চীনের মহাপ্রাচীর বর্ধিতকরণের কাজ করা হয় এবং গ্র্যান্ড খাল খনন করা হয়।[3]",সুই সাম্রাজ্যের প্রথম সম্রাট কে ছিলেন ?,সুই সম্রাট ওয়েন,সুই সম্রাট ইয়াং জিয়ান
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"বিশ্বজনীন অবস্থান-নির্ণায়ক ব্যবস্থা, যাকে মূল ইংরেজিতে Global Positioning System (গ্লোবাল পজিশনিং সিস্টেম) ও সংক্ষেপে GPS (জিপিএস) নামে ডাকা হয়, মার্কিন যুক্তরাষ্ট্রের প্রতিরক্ষা মন্ত্রণালয় কর্তৃক ১৯৭০-এর দশকের শুরুর দিকে উদ্ভাবিত একটি প্রযুক্তি।[1] প্রথম দিকে এর প্রয়োগ ছিল পুরোপুরি সামরিক। পরে জনসাধারণের নিমিত্তে এর ব্যবহার উন্মুক্ত করা হয়। এটি একটি কৃত্রিম উপগ্রহভিত্তিক যোগাযোগ ব্যবস্থা। যেকোন আবহাওয়াতে পৃথিবী যেকোনো চলমান অবস্থান আর সময়ের তথ্য সরবরাহ করাটা এর মূল কাজ। জিপিএস এক ধরনের একমুখী ব্যবস্থা কারণ ব্যবহারকারীগণ উপগ্রহ প্রেরিত সঙ্কেত শুধুমাত্র গ্রহণ করতে পারে।",বিশ্বজনীন অবস্থান-নির্ণায়ক ব্যবস্থা প্রথম কোথায় চালু হয় ?,১৯৭০-এর দশকের শুরুর দিকে,মার্কিন যুক্তরাষ্ট্রের প্রতিরক্ষা মন্ত্রণালয়ে প্রথম চালু হয়।
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"বাংলাদেশের স্বাধীনতাযুদ্ধের ভাস্কর্য নির্মিত হয়েছিল বাংলাদেশের স্বাধীনতাযুদ্ধের রক্তক্ষয়ী সংগ্রামের স্মৃতিকে লালন করার জন্য এবং পরবর্তি প্রজন্মের কাছে স্বাধীনতার চেতনাকে প্রবাহিত করার জন্য। স্বাধীনতাযুদ্ধ স্মরণে নির্মিত এসব ভাস্কর্য রাজধানী শহর ছাড়িয়ে দেশের সর্বত্রই প্রায় রয়েছে। এমনকি বাংলাদেশের বাইরে, বাঙালি অধ্যুষিত অঞ্চলেও রয়েছে স্বাধীনতাযুদ্ধের এসব ভাস্কর্য।",বাংলাদেশের স্বাধীনতাযুদ্ধের ভাস্কর্য বাংলাদেশের কোথায় নির্মিত হয়েছিল ?,রাজধানী শহর ছাড়িয়ে দেশের সর্বত্রই প্রায়,ঢাকার কেন্দ্রীয় শহীদ মিনারে প্রধানত নির্মিত হয়েছিল
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"ভগিনী নিবেদিতা  (ইংরেজি: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː] ) (জন্ম মার্গারেট এলিজাবেথ নোবেল' (ইংরেজি: Margaret Elizabeth Noble)[1]; ২৮ অক্টোবর, ১৮৬৭ – ১৩ অক্টোবর, ১৯১১)[2][3] ছিলেন একজন অ্যাংলো-আইরিশ বংশোদ্ভুত সমাজকর্মী, লেখিকা, শিক্ষিকা এবং স্বামী বিবেকানন্দের শিষ্যা।[4][5] ১৮৯৫ সালে লন্ডন শহরে তিনি স্বামী বিবেকানন্দের সাক্ষাৎ পান এবং ১৮৯৮ সালে ভারতে চলে আসেন। একই বছর ২৫ মার্চ তিনি ব্রহ্মচর্য গ্রহণ করলে স্বামী বিবেকানন্দ তাঁর নামকরণ করেন ""নিবেদিতা""।",ভগিনী নিবেদিতা কোন সালে প্রথম ভারতবর্ষে আসেন ?,১৮৯৮,ভগিনী নিবেদিতা প্রথম ভারতবর্ষে আসেন উনিশ শতকের শেষভাগে।
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"ভারতের বৃহত্তম ধর্ম হিন্দুধর্মের প্রধান ধর্মগ্রন্থগুলিতে সমকামিতার সুস্পষ্ট উল্লেখ না থাকলেও, ধর্মগ্রন্থের কোনো কোনো ব্যাখ্যাকে সমকামিতার বিরোধী মনে করা হয়।[59] তবে ভারতের প্রধান ধর্মবিশ্বাসে সমকামিতার অবস্থান কোথায়, তা নিয়ে গবেষকদের মধ্যে দ্বিমত আছে। কেউ কেউ মনে করেন প্রাচীন হিন্দু সমাজে সমকামিতা শুধু প্রাসঙ্গিকই ছিল না, বরং তা গ্রহণীয়ও ছিল।[60] বর্তমানে ভারতে সমকামিতা বৈধতা পেয়েছে। [61] অতীতে  সমকামিতা ভারতীয় নাগরিক সমাজ ও সরকারের কাছে একটি নিষিদ্ধ বিষয় হিসেবে পরিচিত হলেও সম্প্রতি তা আইনি বৈধতা পেয়েছে । ভারতে সমকামিতা নিয়ে সাধারণ আলোচনার সুযোগ কম। যদিও সাম্প্রতিক বছরগুলিতে সমকামিতার প্রতি ভারতীয়দের মনোভাবে কিছু পরিবর্তন লক্ষিত হয়েছে। বিশেষত, ভারতের সংবাদমাধ্যম[62][63][64] ও বলিউডে[65] সমকামিতার প্রদর্শন ও তৎসংক্রান্ত আলোচনা বৃদ্ধি পেয়েছে। ২০০৯ সালের ২ জুলাই, দিল্লি হাইকোর্টের একটি রায়ে স্পষ্টত জানানো হয়েছে প্রাপ্তবয়স্কদের মধ্যে সম্মতিক্রমে সমকামিতার আচরণ অপরাধের আওতায় পড়ে না। এই রায়ে আরো বলা হয়েছে যে ভারতীয় দণ্ডবিধির ৩৭৭ ধারা ভারতীয় সংবিধানের মৌলিক অধিকার রক্ষা নীতির পরিপন্থী।[66] ২০১৩ সালের ১১ই ডিসেম্বর পুনরায় সমকামিতাকে অবৈধ ঘোষণা করে ভারতের সুপ্রিম কোর্ট।[67]",ভারতবর্ষে কোন সাল থেকে দুটি সমকামী লোকের বিবাহকে আইনী ভাবে বৈধ বলে ঘোষণা করা হয় ?,২০০৯ সালের ২ জুলাই,২০১১ সালের ১৫ আগস্ট থেকে ভারতে দুটি সমকামী মানুষের বিবাহ আইনিভাবে বৈধ ঘোষণা করা হয়।
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""বনলতা সেন"" কবিতাটি প্রথম প্রকাশ করেছিলেন কবি বুদ্ধদেব বসু তাঁর কবিতা পত্রিকায়। ১৯৩৫ খ্রিষ্টাব্দের ডিসেম্বরে প্রকাশিত কবিতার পৌষ, ১৩৪২ সংখ্যার মাধ্যমে বনলতা সেন সর্বপ্রথম পাঠকের হাতে এসে পৌঁছায়। জীবনানন্দ দাশ বাংলা ১৩৪৯, ইংরেজি ডিসেম্বর ১৯৪২ খ্রিষ্টাব্দে প্রকাশিত তাঁর বনলতা সেন নামক তৃতীয় কাব্যগ্রন্থে কবিতাটি অন্তর্ভুক্ত করেন। কবিতা-ভবন কর্তৃক প্রকাশিত ""এক পয়সায় একটি"" গ্রন্থমালার অন্তর্ভুক্ত হিসেবে। প্রকাশক ছিলেন জীবনানন্দ দাশ নিজেই। ১৬ পৃষ্ঠার প্রথম সংস্করণে কবিতা ছিল মোট ১২টি। প্রথম সংস্করণের প্রচ্ছদ করেছিলেন শম্ভু সাহা।[1] পরবর্তীকালে জীবনানন্দ দাশ ১৯৪৪ এ প্রকাশিত তাঁর চতুর্থ কাব্য মহাপৃথিবীতে উক্ত বনলতা সেন কাব্যগ্রন্থের সকল কবিতাই অন্তর্ভুক্ত করেছিলেন। অর্থাৎ ‘‘মহাপৃথিবী’’ কাব্যগ্রন্থেরও প্রথম কবিতা ছিল ’বনলতা সেন’।","জীবনানন্দ দাশ রচিত ""বনলতা সেন"" কবিতাটি কোন সালে প্রথম প্রকাশিত হয় ?",১৯৩৫,১৯৪২ সালে প্রথম প্রকাশিত হয়।
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"স্টিভ জবস (পুরোনাম: স্টিভেন পল জবস) (English: Steven Paul ""Steve"" Jobs) (জন্ম ফেব্রুয়ারি ২৪, ১৯৫৫, মৃত্যু ৫ অক্টোবর ২০১১)[10][11] যুক্তরাষ্ট্রের একজন উদ্যোক্তা ও প্রযুক্তি উদ্ভাবক। তাকে পার্সোনাল কম্পিউটার বিপ্লবের পথিকৃৎ বলা হয়। তিনি স্টিভ ওজনিয়াক এবং রোনাল্ড ওয়েন -এর সাথে ১৯৭৬ খ্রিস্টাব্দে ""অ্যাপল কম্পিউটার"" প্রতিষ্ঠা করেন। তিনি অ্যাপল ইনকর্পোরেশনের প্রতিষ্ঠাতাদের অন্যতম ও সাবেক প্রধান নির্বাহী কর্মকর্তা। তিনি ""পিক্সার এ্যানিমেশন স্টুডিওস""-এরও প্রতিষ্ঠাতাদের অন্যতম ও সাবেক প্রধান নির্বাহী কর্মকর্তা। ১৯৮৫ সালে অ্যাপল ইনকর্পোরেশনের ""বোর্ড অব ডিরেক্টর্সের"" সদস্যদের সাথে বিরোধে জড়িয়ে তিনি অ্যাপল ইনকর্পোরেশনের থেকে পদত্যাগ করেন এবং নেক্সট কম্পিউটার প্রতিষ্ঠা করেন। ১৯৯৬ সালে অ্যাপল কম্পিউটার নেক্সট কম্পিউটারকে কিনে নিলে তিনি অ্যাপলে ফিরে আসেন। তিনি ১৯৯৫ সালে টয় স্টোরি নামের অ্যানিমেটেড চলচ্চিত্র প্রযোজনা করেন।",অ্যাপল ইনকর্পোরেটেডের প্রতিষ্ঠাতা কে ?,স্টিভ ওজনিয়াক এবং রোনাল্ড ওয়েন,স্টিভ জবস এবং জন স্কালি
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,পরমাণুর ক্ষুদ্রতম কণিকা ইলেকট্রন।১৮৯৭ খ্রিষ্টাব্দে স্যার জে. জে. থমসন সর্বপ্রথম ইলেকট্রনের অস্তিত্ব আবিষ্কার করেন। একটি ইলেকট্রনের আসল ভর অতি সামান্য 9.1085×10−28g। ইলেকট্রনের আধান -1.6×10−19 কুলম্ব । ইলেকট্রন নিউক্লিয়াসের চারদিকে ঘুর্ণায়মান। ইলেকট্রনকে সাধারণত e প্রতীক দ্বারা প্রকাশ করা হয়ে থাকে ।,পরমাণুর ক্ষুদ্রতম কণিকার নাম কী ?,ইলেকট্রন,পরমাণুর ক্ষুদ্রতম কণিকার নাম প্রোটন।
