id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury.
2. Tini prothom mohasochib chilen.

**Step 2: For each claim, check whether it is supported by the Context.**

1. The context mentions that Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. This implies that Zia was the first president of Bangladesh Jatiyotabadi Dal, not AQM Badruddoza Chowdhury.
2. The context mentions that Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen, which supports this claim.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes a factual error in its first claim, stating that AQM Badruddoza Chowdhury was the first chairman of Bangladesh Jatiyotabadi Dal when the context actually states it was Zia. Therefore, the model answer is hallucinated.

no",no
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. The language of the Kazakh people is Turkish.
2. The language of the Kazakh people is also Uighur.

**Step 2: For each claim, check whether it is supported by the Context.**

Upon examining the context, we can see that:

* The text mentions ""Kazakh vasha"" (language) and lists several languages spoken in the region, including Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen.
* However, there is no mention of Turkish as a language associated with the Kazakh people.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes claims that are not supported by the context. The correct information about the Kazakh people's language is not provided in the context, but it can be inferred from general knowledge that the Kazakh language belongs to the Turkic branch of languages.

Therefore, the model answer contains **hallucinated** information relative to the code-mixed (Bangla-English) context and question.

no",no
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.
2. (Implicitly) The first emperor of the Sui dynasty was named Yang Jian Naluoyan.

**Step 2: For each claim, check whether it is supported by the Context.**

The context provides the following information:

* Sui Somrat Wen's paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan.
* Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.

The context supports the first claim: it mentions that Sui Somrat Wen's family name was Yang Jian, his Xianbei name was Paliuru Jian, and his nickname was Naluoyan. However, the context does not explicitly mention that he was the first emperor of the Sui dynasty. The context only mentions that he was the founder of the Sui dynasty (protishthata o prothom somrat).

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes a claim about Sui Somrat Wen being the first emperor of the Sui dynasty, which is not supported by the context. The context only mentions that he was the founder of the Sui dynasty, but does not explicitly state that he was the first emperor.

**Verdict:** no",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Markin Juktorashtrer shamorik khetre prothom chalu hoy (Markin Juktorashtrer's project was first started in a research field).
2. The implication is that this is where GPS was first used.

**Step 2: For each claim, check whether it is supported by the Context.**

1. The context mentions that Markin Juktorashtrer protirakkha montronaloy kortik (Markin Juktorashtrer's project) was related to the development of GPS in 1970. However, it does not specify that this project was first started in a research field.
2. The context also mentions that prothom dike er proyog chilo puropuri shamorik (the initial use was purely for research purposes), which implies that the first use of GPS was indeed for research.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer's claim about Markin Juktorashtrer's project being first started in a research field is not supported by the context. However, the implication that this is where GPS was first used is partially supported by the context.

**Verdict:** The model answer has made some factual claims that are not entirely accurate or supported by the context. Specifically, it has ""hallucinated"" information about Markin Juktorashtrer's project being started in a research field.

**Answer: no**",no
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo (The independence movement's torch was created at the Dhaka University campus.)
2. This claim is not explicitly mentioned in the context, but it can be inferred that the context mentions ""Rajdhani shohor chariye desher sorbotroi pray royeche"" which means ""it illuminated the capital city and the countryside"".

**Step 2: For each claim, check whether it is supported by the Context.**

1. The context does not mention Dhaka University as the location where the torch was created.
2. However, the context mentions that the torch illuminated the capital city (Rajdhani shohor) and the countryside.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes a claim about Dhaka University being the location where the torch was created, which is not supported by the context. The only part of the claim that is supported by the context is that the torch illuminated the capital city and the countryside.

Therefore, I conclude that the model answer has **hallucinated** information relative to the code-mixed (Bangla-English) context and question.

no",no
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The only factual claim made by the Model Answer is:
""Bhogini Nibedita prothom Bharatborshe asen 1895 shale.""

This can be broken down into two claims:
1. Bhogini Nibedita came to India first.
2. She came in 1895.

**Step 2: For each claim, check whether it is supported by the Context.**

The context states that Bhogini Nibedita (Sister Nivedita) was born on October 28, 1867, and she went to London to meet Swami Vivekananda in 1895. It also mentions that she came to India in 1898.

1. The context does not explicitly state that Bhogini Nibedita came to India first. In fact, it implies that she met Swami Vivekananda in London before coming to India.
2. The context supports the claim that Bhogini Nibedita went to London in 1895, but it also mentions that she came to India in 1898.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes a claim that is partially supported by the context (the year 1895 is correct), but the overall statement is misleading because it implies that Bhogini Nibedita came to India first in 1895, which is not entirely accurate.

Therefore, I conclude that the model answer has **hallucinated** information relative to the code-mixed (Bangla-English) context and question.

no",no
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy (In India, same-sex marriage was announced in a different way).
2. The specific date of this announcement is 2018 saler 6 September (in the year 2018 on September 6).

**Step 2: For each claim, check whether it is supported by the Context.**

The context discusses the concept of ""somokamita"" (same-sex) in Hinduism and its acceptance or rejection over time. It mentions that some people consider same-sex relationships to be only prashongik-i (permissible) or borong ta grohonjoggo-o chilo (a long way off). However, it does not mention anything about a specific announcement of same-sex marriage in India.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer's claims are not supported by the context. The context discusses the concept of same-sex relationships in Hinduism and its acceptance over time, but it does not mention any specific announcement about same-sex marriage in India.

Therefore, the model answer is **hallucinated** relative to the code-mixed (Bangla-English) context and question.

no",no
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. ""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay.
2. Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy? 1942 shale prothom prokashito hoy.

**Step 2: For each claim, check whether it is supported by the Context.**

1. The context mentions that Buddhadeb Bosu's Kobita potrikay was written about Bonolota Sen, but it does not mention anything about ""Bonolota Sen"" kobitati being first published by Buddhadeb Bosu.
2. The context explicitly states that Jibanananda Das wrote the poem ""Bonolota Sen"" and mentions its publication in 1935 (Khrishtabder December) as Kobitar Poush, 1342 shongkhar maddhome.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer's claim that ""Bonolota Sen"" kobitati was first published in 1942 is not supported by the context, which states that it was published in 1935 (Khrishtabder December). The correct publication year mentioned in the context is 1935.

**Final Verdict:** no",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Apple Incorporated er protishthata chhilen Steve Jobs.
2. Apple Incorporated er protishthata chhilen Mike Markkula.

**Step 2: For each claim, check whether it is supported by the Context.**

Claim 1: The context mentions that ""Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde 'Apple Computer' protistha koren."" This implies that Steve Jobs was one of the co-founders of Apple, which supports claim 1.

Claim 2: There is no mention of Mike Markkula in the context. The context only mentions Steve Wozniak and Ronald Wayne as co-founders, but does not mention Mike Markkula at all.

**Step 3: Based on steps 1-2, decide the final verdict.**

Based on the analysis, it appears that claim 2 is not supported by the context, while claim 1 is partially supported (it mentions Steve Jobs as a co-founder, but does not explicitly mention him as a CEO or president). However, since the model answer specifically states ""protishthata"" (president) for both Steve Jobs and Mike Markkula, it implies that the model answer is making an additional claim about Mike Markkula's role in Apple Incorporated. Since this claim is not supported by the context, I conclude that the model answer has hallucinated information.

**Verdict:** no",no
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"Let's analyze the model answer step by step:

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer makes two claims:

1. Electron-er asal vor oti samanno 9.1085×10−28g.
2. Electron nucleus-er chardike ghurnayoman.

However, there is a third implicit claim that needs to be considered:
3. Poromanur khudrotomo konikar nam proton bola hoy (The name of the particle in question is proton).

**Step 2: For each claim, check whether it is supported by the Context.**

1. The context mentions ""ektu electron-er asal vor oti samanno 9.1085×10−28g"", which matches the first claim.
2. The context does not mention anything about electrons being absorbed or interacting with a nucleus in the way described, so this claim is not supported by the context.
3. The context mentions ""electron-ke sadharonoto e protik diye prokash kora hoye thake"", which can be translated to ""electrons are emitted as beta particles"". This suggests that the particle being referred to is actually a beta particle, not a proton.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer makes two claims that are supported by the context (claims 1 and 3), but one claim (claim 2) is not supported by the context. However, the most significant issue is that the model answer incorrectly identifies the particle in question as a proton, when the context actually refers to an electron.

Therefore, I conclude that the model answer has **hallucinated** information relative to the code-mixed (Bangla-English) context and question.

no",no
