question_id,question,answer,hallucinated_len
eabe6204326992ef6016eb795533027ebd7bac6c,"জনাব মিলন একজন দুগ্ধজাত পশু খামারি এবং তার খামারে ১৪০টি গরু রয়েছে। তার খামারের ৪০ শতাংশ গরুর গায়ে লাল দাগ, ২৫ শতাংশ গরুতে লাল দাগ নেই এবং বাকি গরুতে কোনো দাগ নেই। খামারে কয়টি গরুর দাগ নেই?","যদি জনাব মিলনের ১৪০টি গরু থাকে এবং তাদের মধ্যে ৪০% লাল দাগ থাকে, তাহলে ৪০/১০০*১৪০ = <<১৪০*৪০/১০০=৫৬>>৫৬টি গরুতে লাল দাগ আছে।
লাল দাগ নেই এমন গরুর সংখ্যা হল ১৪০-৫৬ = <<১৪০-৫৬=৮৪>>৮৪টি গরু।
লাল দাগ ছাড়া ৮৪টি গরুর মধ্যে ২৫% টিতে নীল দাগ রয়েছে, মোট ২৫/১০০*৮৪ = <<২৫/১০০*৮৪=২১>>২১টি গরু।
কোন দাগ ছাড়া গরুর সংখ্যা ৮৪-২১ =<<৮৪-২১=৬৩>>৬৩টি প্রাণী।
#### ৬৩",345
d110bf157d2cf31894d3dbc09c92e210eb7716ab,"রুজভেল্ট হাই স্কুল গ্রীনডেল হাই স্কুলের সাথে একটি বাস্কেটবল টুর্নামেন্ট খেলে। রুজভেল্ট হাই স্কুল প্রথম গেমে ৩০ পয়েন্ট স্কোর করে, দ্বিতীয় গেমে অর্ধেক এবং তৃতীয় গেমে দ্বিতীয় গেমের চেয়ে তিনগুণ স্কোর করে। টুর্নামেন্টের শেষে, রুজভেল্ট হাই স্কুল ৫০ বোনাস পয়েন্ট পায় এবং গ্রীনডেল হাই স্কুলের রুজভেল্ট হাই স্কুলের চেয়ে ১০ পয়েন্ট কম পায়। গ্রীনডেল উচ্চ বিদ্যালয়ের কত পয়েন্ট আছে?","দ্বিতীয় গেমের জন্য রুজভেল্ট হাই স্কুলের পয়েন্ট ৩০/২=<<৩০/২=১৫>>১৫ পয়েন্ট।
তৃতীয় গেমের জন্য রুজভেল্ট হাই স্কুলের পয়েন্ট হল ১৫*৩=<<১৫*৩=৪৫>>৪৫ পয়েন্ট।
টুর্নামেন্টের জন্য রুজভেল্ট উচ্চ বিদ্যালয়ের মোট পয়েন্ট হল ৩০+১৫+৪৫+৫০=<<৩০+১৫+৪৫+৫০=১৪০>>১৪০ পয়েন্ট।
গ্রীনডেল হাই স্কুলের টুর্নামেন্টের মোট পয়েন্ট হল ১৪০-১০=<<১৪০-১০=১৩০>>১৩০ পয়েন্ট।
#### ১৩০",441
abc0610a2302c631f15a7e4ebb66acfa9c06981e,"রিয়া মাসে দুটি বই পড়ে। এই বছর, তাকে উপহার হিসাবে ছয়টি নতুন বই দেওয়া হয়েছিল, তিনি আটটি নতুন বই কিনেছিলেন এবং তিনি পাঠাগার থেকে কেনার চেয়ে দুটি কম নতুন বই ধার করার পরিকল্পনা করেছেন। তার পুরানো বই সংগ্রহ থেকে তার কতগুলি পুরানো বই তাকে এই বছর মাসে পড়ার জন্য দুটি বই পুনরায় পড়তে হবে?","রিয়ার ১২ * ২ = <<১২*২=২৪>>২৪টি বই দরকার সারা বছর ধরে তাকে পেতে।
সে পাঠাগার থেকে ৮ - ২ = <<৮-২=৬>>৬টি নতুন বই ধার করবে।
তাকে যে বইগুলো দেওয়া হয়েছিল, তার কেনা বই এবং পাঠাগারের বইয়ের সাথে, তার কাছে এই বছর পড়ার জন্য ৬ + ৮ + ৬ = <<৬+৮+৬=২০>>২০টি নতুন বই থাকবে।
এইভাবে, তাকে এই বছর তার পুরানো বইগুলির ২৪ - ২০ = <<২৪-২০=৪>>৪টি পুনরায় পড়তে হবে৷
#### ৪",350
06a4998986b1f22fa19b731ad476241005fba034,"ইন্ডিগো রেস্তোরাঁ ১৮টি অনলাইন গ্রাহক পর্যালোচনা পায়। তারা ছয়টি ৫-স্টার রিভিউ, সাতটি ৪-স্টার রিভিউ, চারটি ৩-স্টার রিভিউ এবং একটি ২-স্টার রিভিউ পায়। এই পর্যালোচনাগুলির উপর ভিত্তি করে ইন্ডিগো রেস্তোরাঁর গড় তারকা রেটিং কত?","৫-স্টার রেটিং এর জন্য মোট তারা হল ৬ x ৫ = <<৬*৫=৩০>>৩০ তারা।
৪-স্টার রেটিং এর জন্য মোট তারা হল ৭ x ৪ = <<৭*৪=২৮>>২৮ তারা।
৩-স্টার রেটিং এর জন্য মোট তারা হল ৪ x ৩ = <<৪*৩=১২>>১২ তারা।
২-স্টার রেটিং এর জন্য মোট তারা হল ১ x ২ = <<১*২=২>>২ তারা।
প্রাপ্ত মোট তারা হল ৩০ + ২৮ + ১২ + ২ = <<৩০+২৮+১২+২=৭২>>৭২।
গড় রেটিং হল ৭২/১৮ = <<৭২/১৮=৪>>৪ স্টার।
#### ৪",628
d3b0bbde3fff0d733a335e93387f570d39bd0558,জালাল একটি পেন্সিল ফুরিয়ে যাওয়ার আগে ৫ বার ধারালো করতে পারে। প্রতি ১.৫ ঘন্টা ব্যবহারের জন্য তাকে একটি পেন্সিল তীক্ষ্ণ করতে হবে। তার ইতিমধ্যে দশটি পেন্সিল আছে এবং তাকে ১০৫ ঘন্টা লিখতে হবে। একটি নতুন পেন্সিলের দাম ৳২। ১০৫ ঘন্টা লিখতে সক্ষম হওয়ার জন্য তাকে আরও পেন্সিলের জন্য কত খরচ করতে হবে?,"একটি পেন্সিল ৭.৫ ঘন্টা স্থায়ী হয় কারণ ৫ x ১.৫ = <<৫*১.৫=৭.৫>>৭.৫
তার কাছে থাকা পেন্সিলগুলি ৭৫ ঘন্টা স্থায়ী হবে কারণ ১০ x ৭.৫ = <<১০*৭.৫=৭৫>>৭৫
তার আরও ৩০ ঘন্টা লেখা দরকার কারণ ১০৫ - ৭৫ = <<১০৫-৭৫=৩০>>৩০
এটি পৌঁছানোর জন্য তার আরও ৪টি পেন্সিলের প্রয়োজন হবে কারণ ৩০ / ৭.৫ = <<৩০/৭.৫=৪>>৪
সে পেন্সিলের জন্য ৳৮ খরচ করবে কারণ ৪ x ২ = <<৪*২=৮>>৮
#### ৮",461
ebffde7e836958711794530e73c798440423192f,"মিলির একটি স্কুল-পরবর্তী চাকরি রয়েছে যা সে বিক্রি করতে পারে এমন প্রতিটি ম্যাগাজিন সাবস্ক্রিপশনের জন্য তাকে ৳৫.০০ প্রদান করে। সে তার পিতামাতার কাছে ৪টি, তার দাদার কাছে ১টি, পাশের বাড়ির প্রতিবেশীর কাছে ২টি এবং অন্য প্রতিবেশীর কাছে তার দ্বিগুণ পরিমাণ বিক্রি করে। মিলি কত টাকা আয় করেছে?","মিলি একজন প্রতিবেশীর কাছে ২টি সাবস্ক্রিপশন বিক্রি করে এবং অন্য প্রতিবেশীর কাছে তার দ্বিগুণ পরিমাণে বিক্রি করে তাই সে ২*২ = <<২*২=৪>>৪টি সাবস্ক্রিপশন অন্য প্রতিবেশীর কাছে বিক্রি করে
মোট, মিলি ৪+১+২+৪ = <<৪+১+২+৪=১১>>১১টি সাবস্ক্রিপশন বিক্রি করে
সে বিক্রি করে প্রতি সাবস্ক্রিপশনে ৳৫.০০ উপার্জন করে তাই সে ৫*১১ = ৳<<৫*১১=৫৫.০০>>৫৫.০০ উপার্জন করে
#### ৫৫",344
d8967d0145346ec0eaf7098f5dfe97c658347abb,"হ্রদে প্রতি সাদা হাঁসের জন্য রয়েছে ৫টি মাছ। প্রতিটি কালো হাঁসের জন্য ১০টি মাছ এবং প্রতিটি বহু রঙের হাঁসের জন্য ১২টি মাছ রয়েছে। বর্তমানে ৩টি সাদা হাঁস, ৭টি কালো হাঁস এবং ৬টি বহুবর্ণের হাঁস রয়েছে। হ্রদে কত মাছ আছে?","প্রতিটি সাদা হাঁসের জন্য ৫টি মাছ এবং মোট ৫*৩ = <<৫*৩=১৫>>১৫টি মাছের জন্য ৩টি সাদা হাঁস রয়েছে
প্রতিটি কালো হাঁসের জন্য ১০টি মাছ এবং মোট ১০*৭ = <<১০*৭=৭০>>৭০টি মাছের জন্য ৭টি কালো হাঁস রয়েছে
প্রতিটি বহুরঙা হাঁসের জন্য ১২টি মাছ এবং ৬টি বহুরঙা হাঁসের জন্য মোট ১২*৬ = <<১২*৬=৭২>>৭২টি মাছ রয়েছে।
মোট ১৫+৭০+৭২ = <<১৫+৭০+৭২=১৫৭>>লেকে ১৫৭টি মাছ আছে
#### ১৫৭",369
5b49ce8a43c2d32272420e996b69a4799609a9d2,"একটা ভাল্লুক শীতের জন্য হাইবারনেট বা শীতনিদ্রা করার প্রস্তুতি নিচ্ছে এবং তার ১০০০ পাউন্ড ওজন বাড়ানো দরকার। গ্রীষ্মের শেষে, ভালুক বেরি আর ছোট বন্য প্রাণী খায়। শরৎকালে, এটা একোর্ন আর স্যামন খায়। গ্রীষ্মে বেরি থেকে প্রয়োজনীয় ওজনের এক পঞ্চমাংশ লাভ করে, আর শরৎকালে একোর্ন থেকে দ্বিগুণ ওজন লাভ করে। স্যামন তার বাকি অর্ধেক ওজন পূরণ করে। ছোট প্রাণী খেয়ে ভালুকটি কত পাউন্ড ওজন বাড়িয়েছে?","ভালুক বেরি থেকে ১/৫ * ১০০০ = <<১/৫*১০০০=২০০>>২০০ পাউন্ড লাভ করেছে।
এটি অ্যাকর্ন থেকে ২ * ২০০ = <<২*২০০=৪০০>>৪০০ পাউন্ড লাভ করেছে।
এটির এখনও প্রয়োজন ১০০০ - ২০০ - ৪০০ = <<১০০০-২০০-৪০০=৪০০>>৪০০ পাউন্ড।
এইভাবে, এটি সালমন থেকে ৪০০/২ = <<৪০০/২=২০০>>২০০ পাউন্ড লাভ করেছে।
অতএব, ভালুক ছোট প্রাণী থেকে ৪০০ - ২০০ = <<৪০০-২০০=২০০>>২০০ পাউন্ড লাভ করেছে।
#### ২০০",416
2f7a984d0e68f75a69dae6ce4c4222315518d6b9,"জেমসটাউনে ২০টি থিম পার্ক রয়েছে। যদি ভেনিসে জেমসটাউনের চেয়ে ২৫টি বেশি থিম পার্ক থাকে এবং মেরিনা ডেল রে-তে জেমসটাউনের চেয়ে ৫০টি বেশি থিম পার্ক থাকে, তাহলে তিনটি শহরে উপস্থিত থিম পার্কের সংখ্যা গণনা করুন৷","যেহেতু ভেনিসে জেমসটাউনের চেয়ে ২৫টি বেশি থিম পার্ক রয়েছে, তাই ভেনিসে ২০+২৫ = <<২০+২৫=৪৫>>৪৫টি থিম পার্ক রয়েছে।
একসাথে, ভেনিস এবং জেমসটাউনে ৪৫+২০ = <<৪৫+২০=৬৫>>৬৫টি থিম পার্ক রয়েছে
জেমসটাউনের চেয়ে ৫০টি বেশি থিম পার্ক সহ, মেরিনা ডেল রে-এর ৫০+২০ = <<৫০+২০=৭০>>৭০টি থিম পার্ক রয়েছে।
তিনটি শহরে মোট থিম পার্কের সংখ্যা ৭০+৬৫ = <<৭০+৬৫=১৩৫>>১৩৫
#### ১৩৫",469
d48f3d4686a081e9d4da53637ce0c57d562521e7,"সোয়েব এবং সামস শিং মাছের জন্য গভীর সমুদ্রে মাছ ধরতে যেতে পছন্দ করে। প্রতিবার যখন তারা গভীর সমুদ্রে মাছ ধরতে যায়, সোয়েব পাঁচটির চেয়ে  ২টি কম শিং মাছ ধরে এবং সামস সোয়েবের চেয়ে একটি কম শিং মাছ ধরে। সামস এবং সোয়েব যদি ৫ বার মাছ ধরতে যায়, তাহলে তারা মোট কতটি শিং মাছ ধরবে?","সোয়েব প্রতিবার মাছ ধরতে গেলে ২টি কম পাঁচটি শিং মাছ ধরে, প্রতি ভ্রমনে মোট ৫-২=<<৫-২=৩>>৩টি মাছ।
সামস প্রতিটি ভ্রমনে শোয়েবের চেয়ে একটি কম শিং মাছ ধরে, বা প্রতি ভ্রমনে মোট ৩-১=<<৩-১=২>>২টি শিং মাছ ধরে।
একসাথে, তারা প্রতিটি ভ্রমনে মোট ৩+২=<<৩+২=৫>>৫টি শিং মাছ ধরে।
যদি সামস এবং সোয়েব ৫ বার মাছ ধরতে যায়, তারা মোট ৫*৫=<<৫*৫=২৫>>২৫টি শিং মাছ ধরে।
#### ২৫",321
