id,question,deepseek_answer,gemma_answer,qwen_answer,correct_answer,deepseek_score,gemma_score,qwen_score
bengali--4967053164938246889-0,চেঙ্গিস খান কোন বংশের রাজা ছিলেন ?,মঙ্গল,মঙ্গোল বংশ।,বুরতে খান,বোরজিগিন,0,0,0
bengali-5511443938256822670-4,অপারেশন জ্যাকপটের কর্নেল কে ছিলেন ?,ল্ট.কোলনেল ভবচandra সিংহ,অ্যান্ড্রু স্মিথ।,সুচারুভঈয়াمصالحة,ওসমানী,0,0,0
bengali-8851450445312207810-0,কত সালে সর্বভারতীয় তৃণমূল কংগ্রেসের প্রতিষ্ঠা হয় ?,১৯২৯,১৯৫১ সালে।,১৯২৯,১৯৯৮,0,0,0
bengali--2734782977377596175-2,কত সালে কম্পিউটার আবিষ্কার করা হয় ?,১৮৩০,১৯৪৬ সাল।,১৯৩৬,খ্রিষ্টপূর্ব ২৪০০,0,0,0
bengali-570187614909608388-4,মোহনদাস করমচাঁদ গান্ধী বা মহাত্মা গান্ধীর জন্ম ভারতবর্ষের কোথায় হয় ?,মোহনদাস করমচাঁদ গান্ধী (মহাত্মা,"পোরবন্দar, গুজরাট",ঔরঙ্<|im_start|> <|im_start|>user,পোরবন্দরের হিন্দু মোধ পরিবারে,0,1,0
bengali--1460599921296281932-0,রামকৃষ্ণ পরমহংসের জন্ম কবে হয় ?,১৮৩৬ সালে,১৮৩৬ সালে।,১৮৩৬,১৮৩৬,1,1,1
bengali-7478984229355295611-0,জাতিসংঘ শান্তিরক্ষা মিশন প্রথম কোথায় শুরু হয় ?,পালেস্টিন,"স্পেন, ১৯৪৮",সৌদি আরব,মধ্যপ্রাচ্যে,0,0,0
bengali--4920022601878426698-0,ভারতীয় লেখক আর. কে. নারায়ণ কবে জন্মগ্রহণ করেন ?,১৯০৪,১৯০৬ সালে।,১৯৩৪,"৪ ফেব্রুয়ারি, ১৯১৮",0,0,0
bengali-430293400026124419-4,অর্থনীতির জনক কাকে বলা হয় ?,আর্টেম স্মিথ,অধিনায়ক  Adam Smith।,অমর্ত্তি সিমনズ,অ্যাডাম স্মিথ,0,1,0
bengali-3176128016413867974-0,গায়িকা ভেনিসা অ্যানা হাডজেন্সের দ্বিতীয় অ্যালবামটির নাম কী ?,ডিল সে,"""ভোল্টেজ""","""Dreams""",আইডেন্টফিাইড,0,0,0
bengali--6782958818631842743-18,এমা শার্লট ডিউয়ার ওয়াটসন অভিনীত প্রথম চলচ্চিত্রের নাম কী ?,ডিশুম,লাইফ ইজ বেউটিফুল,কিরকتكنولوجynet,ব্যালেট সুজ,0,0,0
bengali--3516219870019020278-0,দ্য লাঞ্চবক্স চলচ্চিত্রটির নির্মাতা কে ?,Syed Shamsul Islaheen,অনুভূতি রায়।,স্কোট ইন্গমান,রিতেশ বাটরা,0,0,0
bengali-4982522927209600608-1,বাংলাদেশের অষ্টম রাষ্ট্রপতি জিয়াউর রহমানের বাবার নাম কী ?,মোফাজ্জুল হাকে,আব্দুল্লাহ।,শফঈ আহমদ,মনসুর রহমান,0,0,0
bengali-4540722463015746120-11,লোহিত রক্তকণিকা কে আবিষ্কার করেন ?,বিস্মিত রায়,রুজ্জারি  পাল।,অ্যান্টোনি ভাল,ওলন্দাজ প্রকৃতিবিদ জ্যান সোয়ামারডাম,0,0,0
bengali-3574248438011399125-1,কলকাতার জাতীয় গ্রন্থাগারটির সর্বপ্রথম মালিক কে ছিলেন ?,জ্যোতিরিন্দ্র চৌধুরী,রাজা রামমোহন রায় ।,বঙ্গদেশ,প্রিন্স দ্বারকানাথ ঠাকুর,0,0,0
bengali-7670404718180488662-31,ইরানের রাষ্ট্রীয় ভাষা কী ?,فارسی,ফার্সি,페르시아語,ফার্সি,1,1,0
bengali--6029913186460348318-1,আচেহ সালতানাতের প্রথম সুলতান কে ছিলেন ?,স্যারিফ আলি অল-মালিক,আবু বকর ।,পাই মা,আলি মুগায়াত শাহ,0,0,0
bengali-1302686441240313376-0,বাইজেন্টাইন সাম্রাজ্যের পতন কবে ঘটে ?,১৪৫৩,১৪৫৩ খ্রিষ্টাব্দে।,১৪৫৩,১৪৫৩ খ্রিষ্টাব্দে,1,1,1
bengali-6141858801232459548-0,কেনিয়ার রাজধানী কোনটি ?,নাইরোবি,"কেনিয়া, নায়রোবী।",জাকারচা,নাইরোবি,1,1,0
bengali--6767707870439070421-2,আয়তনের দিক থেকে বাংলাদেশ বিশ্বের কততম দেশ ?,৯২ম স্থান,34 তম।,৫৮,৯৪,0,0,0
bengali-5112511966002478288-0,জেরুসালেম শহরটি কত সালে ইউনেস্কোর বিশ্ব ঐতিহ্যবাহী স্থান হিসেবে তালিকাভুক্ত হয়েছিল ?,১৯৮১,১৯৮১ সালে।,১৯৮,১৯৮১,1,1,0
bengali-8059972550284364171-2,আলেকজান্ডার গ্রাহাম বেল কোন দেশের নাগরিক ছিলেন ?,মার্কিনি যুক্তরাজ্য,মার্কিন নাগরিক।,"স্কটল্যান্ড, অমেরিকা",স্কটল্যান্ডের,0,0,0
bengali--8929247317429501674-8,ক্যাপ্টেন ডাক্তার লক্ষ্মী সেহগল কত সালে ভারতের স্বাধীনতা আন্দোলনে সক্রিয় কর্মী হিসেবে যুক্ত হন ?,১৯৪২,১৯৪২ সালে।,১৯৩৭,১৯৪৩,0,0,0
bengali-2723352276564780531-2,ডাব্লিউডাব্লিউই ক্রীঢ়া বিনোদন টেলিভিশন প্রোগ্রামটি কবে প্রথম চালু হয় ?,২০১৩ সালের ২৮শে জানুয়ারি,১৯৮৬ সালে।,১৯৮০,1980,0,0,1
bengali--8495867682178957655-5,মুর্শিদাবাদ জেলা কয়টি মহকুমা নিয়ে গঠিত ?,৮,ষাট তিন।,১৩,পাঁচ,0,0,0
bengali--8790724055941840566-3,সর্বপ্রথম কত সালে পরমাণু অস্ত্র পরীক্ষা করা হয়েছিল ?,১৯৪৫,১৯৪৫ সাল।,১৯৪৫,"১৬ জুলাই, ১৯৪৫ সালে",1,1,1
