file,task,subset,model,expected,total,yes_count,no_count,unparsed,yes_pct,no_pct,note
QA/Results/qa_cot_hallu_llama3_1_8b.csv,QA,hallucinated,llama3_1_8b,yes,4000,3483,517,0,87.08%,12.93%,
QA/Results/qa_cot_hallu_mistral_nemo.csv,QA,hallucinated,mistral_nemo,yes,37,35,2,0,94.59%,5.41%,
QA/Results/qa_cot_hallu_qwen2_5_32b.csv,QA,hallucinated,qwen2_5_32b,yes,4000,3070,930,0,76.75%,23.25%,
QA/Results/qa_cot_hallu_deepseek_r1_14b.csv,QA,hallucinated,deepseek_r1_14b,yes,3992,3336,656,0,83.57%,16.43%,
QA/Results/qa_cot_hallu_gemma2_27b.csv,QA,hallucinated,gemma2_27b,yes,4000,2457,1543,0,61.42%,38.57%,
QA/Results/qa_cot_hallu_tigerllm_9b.csv,QA,hallucinated,tigerllm_9b,yes,3988,2458,1530,0,61.63%,38.37%,
QA/Results/qa_cot_hallu_gpt4_1_mini.csv,QA,hallucinated,gpt4_1_mini,yes,4000,2614,1386,0,65.35%,34.65%,
QA/Results/qa_cot_gt_llama3_1_8b.csv,QA,ground_truth,llama3_1_8b,no,1000,833,167,0,83.30%,16.70%,
QA/Results/qa_cot_gt_mistral_nemo.csv,QA,ground_truth,mistral_nemo,no,1000,933,67,0,93.30%,6.70%,
QA/Results/qa_cot_gt_qwen2_5_32b.csv,QA,ground_truth,qwen2_5_32b,no,1000,744,256,0,74.40%,25.60%,
QA/Results/qa_cot_gt_deepseek_r1_14b.csv,QA,ground_truth,deepseek_r1_14b,no,998,749,249,0,75.05%,24.95%,
QA/Results/qa_cot_gt_gemma2_27b.csv,QA,ground_truth,gemma2_27b,no,1000,505,495,0,50.50%,49.50%,
QA/Results/qa_cot_gt_tigerllm_9b.csv,QA,ground_truth,tigerllm_9b,no,1000,218,782,0,21.80%,78.20%,
QA/Results/qa_cot_gt_gpt4_1_mini.csv,QA,ground_truth,gpt4_1_mini,no,1000,389,611,0,38.90%,61.10%,
Summarization/Evaluation_Results/summ_3000_cot_llama3_1_8b.csv,Summarization,hallucinated,llama3_1_8b,yes,3000,2345,655,0,78.17%,21.83%,
Summarization/Evaluation_Results/summ_3000_cot_mistral_nemo.csv,Summarization,hallucinated,mistral_nemo,yes,3000,2577,423,0,85.90%,14.10%,
Summarization/Evaluation_Results/summ_3000_cot_qwen2_5_32b.csv,Summarization,hallucinated,qwen2_5_32b,yes,3000,2776,224,0,92.53%,7.47%,
Summarization/Evaluation_Results/summ_3000_cot_deepseek_r1_14b.csv,Summarization,hallucinated,deepseek_r1_14b,yes,3000,2728,272,0,90.93%,9.07%,
Summarization/Evaluation_Results/summ_3000_cot_gemma2_27b.csv,Summarization,hallucinated,gemma2_27b,yes,3000,2669,331,0,88.97%,11.03%,
Summarization/Evaluation_Results/summ_3000_cot_tigerllm_9b.csv,Summarization,hallucinated,tigerllm_9b,yes,3000,2443,557,0,81.43%,18.57%,
Summarization/Evaluation_Results/summ_3000_cot_gpt4_1_mini.csv,Summarization,hallucinated,gpt4_1_mini,yes,3000,2646,354,0,88.20%,11.80%,
Summarization/Evaluation_Results/summ_1000_cot_llama3_1_8b.csv,Summarization,ground_truth,llama3_1_8b,no,1000,649,351,0,64.90%,35.10%,
Summarization/Evaluation_Results/summ_1000_cot_mistral_nemo.csv,Summarization,ground_truth,mistral_nemo,no,1000,454,546,0,45.40%,54.60%,
Summarization/Evaluation_Results/summ_1000_cot_qwen2_5_32b.csv,Summarization,ground_truth,qwen2_5_32b,no,1000,336,664,0,33.60%,66.40%,
Summarization/Evaluation_Results/summ_1000_cot_deepseek_r1_14b.csv,Summarization,ground_truth,deepseek_r1_14b,no,1000,207,793,0,20.70%,79.30%,
Summarization/Evaluation_Results/summ_1000_cot_gemma2_27b.csv,Summarization,ground_truth,gemma2_27b,no,1000,190,810,0,19.00%,81.00%,
Summarization/Evaluation_Results/summ_1000_cot_tigerllm_9b.csv,Summarization,ground_truth,tigerllm_9b,no,1000,174,826,0,17.40%,82.60%,
Summarization/Evaluation_Results/summ_1000_cot_gpt4_1_mini.csv,Summarization,ground_truth,gpt4_1_mini,no,1000,63,937,0,6.30%,93.70%,
Reasoning/Results/reasoning_cot_llama3_1_8b.csv,Reasoning,hallucinated,llama3_1_8b,yes,1000,244,756,0,24.40%,75.60%,
Reasoning/Results/reasoning_cot_mistral_nemo.csv,Reasoning,hallucinated,mistral_nemo,yes,1000,2,998,0,0.20%,99.80%,
Reasoning/Results/reasoning_cot_qwen2_5_32b.csv,Reasoning,hallucinated,qwen2_5_32b,yes,1000,509,491,0,50.90%,49.10%,
Reasoning/Results/reasoning_cot_deepseek_r1_14b.csv,Reasoning,hallucinated,deepseek_r1_14b,yes,1000,803,197,0,80.30%,19.70%,
Reasoning/Results/reasoning_cot_gemma2_27b.csv,Reasoning,hallucinated,gemma2_27b,yes,1000,177,823,0,17.70%,82.30%,
Reasoning/Results/reasoning_cot_tigerllm_9b.csv,Reasoning,hallucinated,tigerllm_9b,yes,1000,480,520,0,48.00%,52.00%,
Reasoning/Results/reasoning_cot_gpt4_1_mini.csv,Reasoning,hallucinated,gpt4_1_mini,yes,1000,747,253,0,74.70%,25.30%,
Reasoning/Results/reasoning_gt_cot_llama3_1_8b.csv,Reasoning,ground_truth,llama3_1_8b,no,1000,287,713,0,28.70%,71.30%,
Reasoning/Results/reasoning_gt_cot_mistral_nemo.csv,Reasoning,ground_truth,mistral_nemo,no,1000,1,999,0,0.10%,99.90%,
Reasoning/Results/reasoning_gt_cot_qwen2_5_32b.csv,Reasoning,ground_truth,qwen2_5_32b,no,1000,87,913,0,8.70%,91.30%,
Reasoning/Results/reasoning_gt_cot_deepseek_r1_14b.csv,Reasoning,ground_truth,deepseek_r1_14b,no,1000,244,756,0,24.40%,75.60%,
Reasoning/Results/reasoning_gt_cot_gemma2_27b.csv,Reasoning,ground_truth,gemma2_27b,no,1000,36,964,0,3.60%,96.40%,
Reasoning/Results/reasoning_gt_cot_tigerllm_9b.csv,Reasoning,ground_truth,tigerllm_9b,no,1000,84,916,0,8.40%,91.60%,
Reasoning/Results/reasoning_gt_cot_gpt4_1_mini.csv,Reasoning,ground_truth,gpt4_1_mini,no,1000,116,884,0,11.60%,88.40%,
