id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","**Analysis:**

1. **Claim:** Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury.
   - **Support in Context:** The context explicitly states that ""Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen"" and later mentions that ""Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen"", which includes the position of chairman.

2. **Claim:** karon tini prothom mohasochib chilen.
   - **Support in Context:** The context supports this claim as it mentions ""prothom mohasochib chilen"".

**Verdict:**
The model answer accurately reflects the information provided in the context and does not contain any unsupported or fabricated details. Therefore, the final verdict is: **no**.",no
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"**Step 1:**
The Model Answer claims:
- The language spoken in Kazakhstan (Kajakh jatir) is primarily Uighur.
- This language belongs to the Turkic family.

**Step 2:**
Checking these claims against the Context:
- The Context mentions several languages and their speakers, but it does not explicitly state that Kazakh (Kazakh vasha) is Uighur (Uighur bhasha).
- It does mention that Kazakh is a Turkic language (Turki vasha).

**Step 3:**
Based on steps 1-2, the Model Answer is making unsupported claims about the primary language spoken in Kazakhstan and its classification as Uighur. While it's true that Kazakh is a Turkic language, the Context does not confirm that Uighur is the primary language spoken there.

**Final Verdict:** No",no
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"**Reasoning:**

The context states that Sui Wen Di (Sui Samrajyer protishthata) was the first emperor of the Sui Dynasty. The model answer claims that Yang Jian Naluoyan was the first emperor of the Sui Dynasty.

Step 1:
- Claim: Yang Jian Naluoyan was the first emperor of the Sui Dynasty.

Step 2:
- The context does not explicitly mention Yang Jian Naluoyan as the first emperor. It only mentions that his name was Yang Jian and he had a Daxia (Naluoyan) title, but it does not specify that he was the first emperor.

Step 3:
Since the context does not explicitly support the claim made by the model answer, we cannot confirm its accuracy based on the given information.

**Final Verdict:** No",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"**Reasoning:**

The context discusses the origin and evolution of GPS (Global Positioning System), mentioning that its first use was military. The model answer claims that ""Markin Juktorashtrer shamorik khetre prothom chalu hoy,"" which translates to ""In Markin's military sphere, it first started.""

1. **Claim:** The first use of GPS was in the military sphere.
   - **Support from Context:** Yes, the context mentions that the first use of GPS was indeed for military purposes.

2. **Claim:** Markin is associated with this first use.
   - **Support from Context:** No, the context does not mention any association between Markin and the first use of GPS.

**Verdict:**
While the model answer correctly identifies the military sphere as the first user of GPS, it incorrectly attributes this to ""Markin."" Since there's no support for this attribution in the given context, the model answer is **hallucinated**.",no
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"**Reasoning:**

The context discusses the creation of Bangladesh's flag during the independence war and its significance. It mentions that the flag was designed by a group of people for various reasons related to the independence movement but does not specify where it was created.

The Model Answer claims that ""Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo,"" which translates to ""Bangladesh's flag was originally designed at Dhaka University.""

**Analysis:**

1. The context does not explicitly state where the Bangladesh flag was created.
2. The Model Answer makes a specific claim about the location of its creation (Dhaka University).
3. Since there is no explicit support for this claim in the given context, it appears to be unsupported information.

**Verdict:** yes",yes
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"**Analysis:**

Step 1: The Model Answer makes two factual claims:
   - Bhogini Nibedita first came to India in 1895.
   - This was her first time in India.

Step 2: Checking these claims against the Context:
   - The Context mentions that she went to Bharot (India) in 1898, not 1895.
   - There's no mention of this being her first visit; however, it's implied as she took vows and changed her name upon arrival.

Step 3: Based on these checks:
   - The claim about the year is incorrect according to the Context.
   - The claim about it being her first visit is not explicitly contradicted but also not explicitly confirmed.

**Final Verdict:** Yes, the Model Answer is hallucinated relative to the given context and question.",yes
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"**Analysis:**

The context discusses the history and evolution of Hinduism in Bangladesh, mentioning that there were debates about the supremacy of Hindu religion (dhormo) and its scriptures (dhormograntho). It also mentions that there was a division among Hindus regarding their beliefs during the British rule. However, it does not provide any specific dates or events related to the second largest Hindu community's wedding ceremony.

The Model Answer claims that in 2018 on September 6, the second largest Hindu community held a grand wedding ceremony. This claim is not supported by the context provided.

**Verdict:** No",no
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"**Reasoning:**

The model answer claims that ""Bonolota Sen"" was first published in 1942. Let's check if this claim is supported by the context:

1. The context mentions that ""Bonolota Sen"" was first published in Bengali in 1342 (which corresponds to 1945 in the Gregorian calendar) and in English in December of 1942.
2. However, there's no mention of a specific year for the first publication of ""Bonolota Sen"".

Since the context does not explicitly state that it was first published in 1942, but rather mentions two different years for its first publications (1342 and 1942), we cannot definitively confirm that the model answer is correct.

**Final Verdict:** No",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"**Analysis:**

Step 1:
- Claim 1: Steve Jobs was involved in the founding of Apple Incorporated.
- Claim 2: Mike Markkula was also involved in the founding of Apple Incorporated.

Step 2:
- The context mentions that Steve Jobs founded ""Apple Computer"" with Steve Wozniak and Ronald Wayne in 1976. It does not mention Mike Markkula's involvement in the founding.
- However, it is historically accurate that Mike Markkula was an early investor and played a significant role in Apple's growth after its founding.

Step 3:
While the context supports Claim 1, it does not explicitly support Claim 2. Therefore, the model answer contains a factual claim that is not supported by the given context.

**Final Verdict:** No",no
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"**Step 1:** The model answer claims that ""Poromanur khudrotomo konikar nam proton bola hoy"" (In English, it means ""The name of the particle discovered by Thomson is proton"").

**Step 2:**
- The context mentions that Sir J. J. Thomson discovered a particle called an electron in 1897.
- There's no mention of any other particle named 'proton' being discovered by Thomson.

**Step 3:** Since the context does not support the claim made in the model answer, it is hallucinated relative to the given context and question.

Final verdict: **no**.",no
