id,context,question,correct_answer
bengali--4617050319286437016-6,"লুৎফর রহমানের সাহিত্য সাধনা শুরু হয়েছিল মূলত কবিতা রচনার মাধ্যমে। ১৯১৫ সালে চল্লিশটি কবিতা নিয়ে তার প্রথম এবং একমাত্র কাব্যগ্রন্থ প্রকাশ প্রকাশিত হয়।[4] পরে তিনি বিভিন্ন প্রবন্ধ, উপন্যাস, ছোটগল্প, কথিকা, শিশুতোষ সাহিত্য ইত্যাদি রচনা করেছেন। তার কিছু অনুবাদ কর্মও পাওয়া যায়।","বাঙালি সাহিত্যিক, সম্পাদক ও সমাজকর্মী মোহাম্মদ লুৎফর রহমানের রচিত প্রথম গ্রন্থের নাম কী ?",প্রকাশ
bengali-3322578321529024800-0,"হুগলী জেলা ভারতের পূর্বাঞ্চলীয় রাজ্য পশ্চিমবঙ্গের অন্তর্গত বর্ধমান বিভাগের একটি জেলা। হুগলী নদীর নামে এর নামকরণ করা হয়েছে। জেলাটির সদর চুঁচুড়া-তে অবস্থিত। জেলাটির চারটি মহকুমা রয়েছে: চুঁচুড়া সদর, চন্দননগর, শ্রীরামপুর, ও আরামবাগ।",পশ্চিমবঙ্গের হুগলী জেলার সদর শহর কোথায় ?,চুঁচুড়া
bengali-3745430487395999591-0,"টুথব্রাশ বা দাঁতের ব্রাশ হচ্ছে মুখে ব্যবহৃত এক ধরণের উপকরণ। এর সাহায্যে দাঁত ও মাড়ি পরিষ্কার করা হয়। সম্মুখের অংশে শক্ত করে থরে থরে সাজানো তন্তু রাখা আছে। হাতলে অল্প নড়াচড়ার মাধ্যমে মুখের অভ্যন্তরে আনাচে-কানাচে তন্তুগুলো প্রবেশ করে দাঁতকে পরিষ্কার রাখতে সহায়তা করে। বর্তমানে ফ্লুরাইডযুক্ত টুথপেস্ট প্রচলিত আছে। টুথপেস্ট ও টুথব্রাশ একে-অপরের পরিপূরক। এ দু'য়ের মিলিত প্রচেষ্টায় টুথব্রাশিংকে কার্যক্রমকে স্বার্থক ও কার্যকরী করে তোলে। টুথব্রাশ যে-কোন দোকান বা শপিং মলে পাওয়া যায়। টুথব্রাশ বিভিন্ন রংয়ের, আকার-আকৃতির হয়ে থাকে।",বর্তমানে টুথব্রাশ বা দাঁতের ব্রাশ কি দিয়ে তৈরি করা হয় ?,ফ্লুরাইড
bengali-4641166304845548642-6,"১৮৮৭ সালে জার্মান পদার্থবিদ হেনরিক হার্টজ বেতার তরঙ্গ নিয়ে গবেষনার সময় প্রাথমিক ট্রান্সমিটার তৈরী করেন যাকে ""হার্জের অস্কিলেটর"" বলা হত। দুটো পরিবাহী কন্ডাকটরের মধ্যে বৈদ্যুতিক স্ফুলিঙ্গ আদান-প্রদানের মাধ্যমে এটা কাজ করত। ১৮৯৫ সালে, স্পার্ক ট্রান্সমিটার ব্যবহার করে মার্কোনি সর্বপ্রথম বেতার যোগাযোগ ব্যবস্থা তৈরী করেন। এটি কিন্তু বর্তমান সময়ের মত অডিও সম্প্রচার করতে পারত না। তার বদলে টেলিগ্রাফিক সঙ্কেত আদান-প্রদান করতে পারত। অপারেটর যিনি মর্স কোড জানতেন তিনি শব্দ শুনে অর্থ বের করতেন। রেডিও প্রযুক্তির প্রথম তিন দশকে (১৮৮৭ সাল থেকে ১৯১৭ সাল পর্যন্ত) এই স্পার্ক গ্যাপ ট্রান্সমিটারই ব্যবহার করা হত। এই সময়টুকুকে বলা হয় ওয়ারলেস টেলিগ্রাফি বা স্পার্ক এরা বা ""স্ফুলিঙ্গ যুগ""।",বেতার ট্রান্সমিটার প্রথম কে তৈরী করেন ?,হেনরিক হার্টজ
bengali--1199493965132146131-3,"পূর্ণিমার চলচ্চিত্রে আগমন জাকির হোসেন রাজু পরিচালিত এ জীবন তোমার আমার দিয়ে। চলচ্চিত্রটি মুক্তি পায় ১৯৯৭ সালে, তখন তিনি ক্লাস নাইনে পড়তেন। ২০০৩ সালে মুক্তি পায় তার সব থেকে সফল ছবি মতিউর রহমান পানু পরিচালিত মনের মাঝে তুমি। এটি বাংলাদেশ-ভারতের যৌথ প্রযোজনায় বাংলাদেশের সবথেকে সফল ছবির মধ্যে অন্যতম।[5] ২০০৪ সালে রাবেয়া খাতুনের উপন্যাস মেঘের পরে মেঘ অবলম্বনে চাষী নজরুল ইসলাম পরিচালিত মুক্তিযুদ্ধভিত্তিক ছায়াছবি মেঘের পরে মেঘ ছবিতে অভিনয় করেন।[6] এছাড়া কাজী নজরুল ইসলামের গল্প রাক্ষুসী নিয়ে নির্মিত চলচ্চিত্র রাক্ষুসী</i>তেও অন্যতম কেন্দ্রীয় চরিত্রে অভিনয় করেছেন। ২০০৫ সালে বিশ্বকবি রবীন্দ্রনাথ ঠাকুরের শাস্তি গল্প অবলম্বনে নির্মিত শাস্তি চলচ্চিত্র চন্দরা চরিত্রে অভিনয় করেন।[7]",বাংলাদেশী অভিনেত্রী পূর্ণিমার অভিনীত প্রথম ছবিটি বাংলাদেশে কবে মুক্তি পায় ?,১৯৯৭ সালে
bengali-8690075851604962430-9,১৯৪০-এর দশকে নতুন ধরণের পরমাণু বোমা হিসেবে হাইড্রোজেন বোমা আবিস্কারের মাধ্যমে সোভিয়েত ইউনিয়ন সমগ্র বিশ্বে ব্যাপক আলোড়ন সৃষ্টি করে। হাইড্রোজেন বোমার পরীক্ষণের স্থল হিসেবে তারা প্রশান্ত মহাসাগরকে বেছে নেয়। এছাড়াও তারা পরমাণু বিভাজন বা ফিসন করে একের পর এক নিত্য নতুন ও উন্নততর পারমাণবিক বোমা আবিস্কার করতে থাকে।,হাইড্রোজেন বোমা কবে প্রথম আবিষ্কৃত হয় ?,১৯৪০-এর দশকে
bengali--7191786131172679626-4,"গাছে ফল উৎপাদনের জন্য সচরাচর ৪ থেকে ৮ বছর পর্যন্ত অপেক্ষা করতে হয়। তবে বাণিজ্যিকভাবে ফসল উৎপাদন উপযোগী খেজুর গাছে ফল আসতে ৭ থেকে ১০ বছর সময় লেগে যায়। পূর্ণাঙ্গ খেজুর গাছে প্রতি মৌসুমে গড়ে ৮০-১২০ কিলোগ্রাম (১৭৬-২৬৪ পাউন্ড) ফল পাওয়া যায়। বাজারজাতকরণের উপযোগী ফল আহরণের জন্য ফলের শাখাকে পাতলা হতে হয়। এর ফলে ফলগুচ্ছ নুইয়ে পড়ে, নীচের ফলগুলো বড় আকারের হয় এবং বাজে আবহাওয়া ও পাখির আক্রমণ থেকে রক্ষা পায়।",খেজুর গাছে খেজুর ফল আসতে কতদিন সময় লাগে ?,৭ থেকে ১০ বছর
bengali-6379374255497658608-2,"ঢাকা'র সিটি ল কলেজে তিনি ১৯৬৮ সালে আরো ভালো ফলাফলের জন্যে দ্বিতীয়বারের মতো এম.এ বা স্নাতকোত্তর ডিগ্রী অর্জনের জন্য চেষ্টা করছিলেন।[3] ১৯৬৯ সালে মৃত্যুকালীন সময়ে তিনি ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগে এম.এ শেষ বর্ষের ছাত্র ছিলেন তিনি। শহীদ আসাদ তৎকালীন ঢাকা হল (বতর্মান শহীদুল্লাহ হল) শাখার পূর্ব-পাকিস্তান ছাত্র ইউনিয়নের সভাপতি হিসেবে এবং পূর্ব-পাকিস্তান ছাত্র ইউনিয়ন (ইপসু-মেনন গ্রুপ), ঢাকা শাখার সাধারণ সম্পাদক হিসেবে দায়িত্ব পালন করেন। রাজনৈতিক কর্মকাণ্ডে নিবেদিত প্রাণ আসাদুজ্জামান গরিব ও অসহায় ছাত্রদের শিক্ষার অধিকার বিষয়ে সর্বদাই সজাগ ছিলেন। তিনি শিবপুর নৈশ বিদ্যালয় নামে একটি নৈশ বিদ্যালয় প্রতিষ্ঠা করেন এবং শিবপুর কলেজ প্রতিষ্ঠার লক্ষ্যে স্থানীয় শিক্ষানুরাগী ব্যক্তিদেরকে সাথে নিয়ে আর্থিক তহবিল গড়ে তোলেন।[3]",আমানুল্লাহ মোহাম্মদ আসাদুজ্জামান কোন কলেজের ছাত্রনেতা ছিলেন ?,সিটি ল কলেজে
bengali--4367168340646115612-0,খিলজি রাজবংশ (Persian: سلسله خلجی‎; Hindi: सलतनत ख़िलजी) ছিল তুর্কি বংশোদ্ভুত মুসলিম রাজবংশ। [2] ১২৯০ থেকে ১৩২০ সাল পর্যন্ত সময়ের মধ্যে এই রাজবংশ দক্ষিণ এশিয়ার বিরাট অংশ শাসন করে।[3] জালালউদ্দিন ফিরোজ খিলজি এই রাজবংশের পত্তন করেন। এটি দিল্লি সালতানাত শাসনকারী দ্বিতীয় রাজবংশ। আলাউদ্দিন খিলজির সময় খিলজিরা সফলভাবে মোঙ্গল আক্রমণ ঠেকাতে সক্ষম হয়।[4][5],খিলজি রাজবংশের প্রতিষ্ঠাতা কে ?,জালালউদ্দিন ফিরোজ খিলজি
bengali-8231597176267138336-3,"যদিও চিকনগুনির প্রাদুর্ভাব সাধারণত এশিয়া ও আফ্রিকাতে বেশি দেখা যায় তবে প্রতিবেদন অনুসারে ২০০০-এর দশকে এটি ইউরোপ ও আমেরিকাতে ছড়িয়ে পড়েছে। ২০১৪ সালে এক মিলিয়নের বেশি মানুষ আক্রন্ত হয়েছে।[2]  ২০১৪ সালের প্রতিবেদন অনুযায়ী এটি যুক্তরাষ্ট্রের ফ্লোরিডাতে দেখা গেছে কিন্তু ২০১৬ সালে যুক্তরাষ্ট্রে স্থানীয়ভাবে এই রোগের প্রভাব দেখা যায়নি।[12][13] তানজানিয়াতে ১৯৫২ সালে প্রথম রোগটি ধরা পরে।[2] চিকনগুনিয়া নামটি এসেছে তানজানিয়ার মাকুন্দি জনগোষ্ঠির ব্যবহৃত কিমাকুন্দি ভাষা থেকে যার অর্থ ""কুঁচিত হওয়া"" বা বাঁকা হয়ে যাওয়া।[2] ২০০৮ সালের দিকে বাংলাদেশের রাজশাহী এবং চাঁপাইনবাবগঞ্জ জেলায় প্রথম এ রোগের ভাইরাসটি ধরা পরে। পরবর্তীতে ২০১১ সালে ঢাকার দোহারে এটি লক্ষ্য করা গেলেও এরপর তেমনভাবে এ ভাইরাসের কথা শোনা যায়নি তবে ২০১৭ সালের প্রথমদিকে সারাদেশে ভাইরাসটি উল্লেখযোগ্য হারে লক্ষ করা যায়।[14]",চিকুনগুনিয়া ভাইরাস কবে প্রথম শনাক্ত করা হয় ?,২০০৮ সালের দিকে
