id,source_id,pattern,document,right_summary,hallucinated_summary
14199::Non-factual,14199,Non-factual,"আমি গতকাল দুপুরে ব্যায়াম করার সময় ৩০ টির বেশি ক্রাঞ্চ দেই এবং কিছুক্ষণ পরেই দড়ি লাফাই , খুব বেশি একটা লাফাতে পারিনি , হাফিয়ে যাই , পরে এসে বিশ্রাম নেই , গোসল করে দুপুরের খাওয়া সেরে ঘুম দেই , তখনও কিছু টের পাইনি কিন্তু রাত বাড়তেই আমার বাম পাশে ভিতরে ব্যাথা অনূভুত হতে থাকে , শ্বাস নিতে কষ্ট হচ্ছে , কোনপাশে শুয়ে আরাম পাওয়া যাচ্ছেনা । এএমতাবস্থায় করণীয় কি হতে পারে ? ? কাল রাত ঘুমাতে পারিনি",ব্যায়াম করার জন্য বাম পাশে ভেতরে ব্যাথা হয় । শ্বাস নিতে কষ্ট হয় । ঘুম হচ্ছে না ৷ কি করনীয় ?,ব্যায়ামের পর বাম পাশের ভেতরে তীব্র ব্যথা শুরু হয়েছে। গভীর শ্বাস নিতে কষ্ট হচ্ছে। সারারাত ঘুম হয়নি। ২টা পেইনকিলার খেলেও আরাম মেলেনি। কী করণীয়?
18322::Factual Contradiction,18322,Factual Contradiction,"আমার ছেলের বয়স ২ বছর ৪ মাস , সে আজ প্রায় ৪ / ৫ দিন যাবৎ জ্বরে আক্রান্ত , ১০২ থেকে ৩ / ৪ ডিগ্রী পর্যন্ত উঠে , সাথে শুকনা কাশি আছে অনেক , কোন কিছুই খেতে পারে না , খেলেই কাশতে কাশতে ভমি করে ফেলে দেয় । দুর্বল হয়ে পরেছে অনেক । একবার ভমিতে রক্তও বের হ্য়েছে । জ্বরের জন্যে নাপা সিরাপ , বমির জন্যে ইমিসটেট সিরাপ ও কাশির জন্যে এমবোলেট সিরাপ খাওয়াচ্ছি এবং আজকে রাতে সেফ - ৩ খাওয়াইছি । আমি কি ঔষুধ চালিয়ে যাব নাকি অন্য কোন ঔষুধ খাও্য়াবো । আমি চাকরীর সুবাদে দুরে আছি পরামর্শ প্লীজ ।","বয়স ২ বছর ৪ মাস । ৪ / ৫ দিন হলো জ্বরে আক্রান্ত । ১০২ থেকে ৩ / ৪ ডিগ্রি জ্বর থাকে । শুকনা কাশি আছে । কিছু খেতে পারে না । কিছু খেলে কাশি হয় ও বমি করে । দুর্বল হয়ে পড়েছে । বমির সাথে রক্তও বের হয়েছে । জ্বরের জন্য নাপা সিরাপ , বমির জন্য ইমিসটেট সিরাপ ও কাশির জন্য এমবোলেট সিরাপ খাচ্ছে । রাতে সেফ - ৩ খেয়েছে । ওষুধ কি চালিয়ে যাবো নাকি অন্য ওষুধ খাওয়াবো ?","বয়স ২ বছর ৪ মাস। ৪/৫ দিন ধরে জ্বর নেই, তবে ১০২ থেকে ১০৪ ডিগ্রি পর্যন্ত ওঠে। ভেজা কাশি আছে, ভালোই খেতে পারে। খেলে কাশি কমে, বমি হয় না। তেমন দুর্বল হয়নি। বমিতে রক্ত বের হয়নি। জ্বরের জন্য নাপা সিরাপ, বমির জন্য ইমিসটেট"
17336::Factual Contradiction,17336,Factual Contradiction,"আমার অইফ এর দুইটি বাচ্চাই সিজারের মাধ্যমে হয়েছে । ছোট বাচ্চার বয়স আড়াই বছর হওয়ার পরেও তার পেট স্বভাবিক হচ্চে না । দেখা গেছে যে , যাদের নরমাল ডেলিভারী তাদের পেট স্বাভাবিক হয়ে গিয়েছে । আমার অইফ এর বয়স ২৪ বছর । সে খাবার নিয়নত্রন করে । আমার প্রশ্ন হচ্ছে সিজারে যাদের বাচ্চা হয় তাদের পেট কি একটু বড়ই থাকে , নাকি স্বাভাবিক হয় ? ?",বয়স ২৪ । সিজারে ছোট বাচ্চা হওয়ার পর থেকে পেট স্বাভাবিক হচ্ছে না । খাবার নিয়ন্ত্রণ করে । সিজারের পরে পেট কি বড়ই থাকে নাকি স্বাভাবিক হয় ?,বয়স ২৪। নরমাল ডেলিভারির পর ছোট বাচ্চা হওয়ার পর থেকেই পেট স্বাভাবিক হয়ে গেছে। খাবার নিয়ন্ত্রণ করে না। সিজারের পরে পেট সবসময় স্বাভাবিকই থাকে কি না জানতে চায়।
1563::Factual Contradiction,1563,Factual Contradiction,"স্যার আমার বড় আপুর বয়স ৩২ হবে , , আজ থেকে ২মাস আগে হঠাত ওনার হাতে পায়ে পানি নামে ( হাত পা ফুলে গেছে ) তো অনেক বলছে যে কিডনিতে সমস্যা হলে এমনটা হয় । তাই ড : এর কাছে নেওয়া হয় তাকে । বিভিন্য টেস্ট ( প্রস্রাব , রক্ত ) আরো কিছু টেস্ট করানো হয় এবং অনেক ওষধ দেয় ডা : , কিন্তু তার কোনো সমাধান হচ্চে না । ইতিমদ্দে ২জন বিশেষজ্ঞ ডা : দেখানো হয়েছে , কাজের কাহ কিছুই হচ্চে না । কিছু দিন ভালো থাকে আবার হাতে পায়ে এবং প্রায় শরীরেই পানি নামে , । এখন আমাদের করণীয় কি ?","বয়স ৩২ । ২মাস আগে হাতে পায়ে পানি নামে । প্রস্রাব , রক্ত আরো কিছু টেস্ট করানো হয় এবং অনেক ওষধ দেয় ডা : কিন্তু কোনো সমাধান হচ্ছে না ।","বয়স ৩২। ২মাস আগে হাতে পায়ে পানি নামেনি, বরং ফোলা কমে গেছে। প্রস্রাব, রক্তসহ কিছু টেস্ট করানো হয়নি এবং ডাক্তার কোনো ওষুধও দেননি, তাই এখনো সমাধান হচ্ছে না।"
21102::Intrinsic,21102,Intrinsic,আসসালামু আলাইকুম আমার আম্মুর বয়স ৪৮ বছর আম্মুর গা কাঁপে ও চোখে সর্ষে ফুলের মতো দেখে এখন কোন ঔষদ বা চিকিৎসা করাবো ? ( বিঃ দ্র : আম্মু ছোট করে ব্রইন স্টোক করছে এবং হার্টের ও একটু সমস্যা আছে তার জন্য ইকোস্প্রিন ৭৫ ও সেরেভাস খেয়ে থাকেন ।,"৪৮ বছর বয়সী নারী । হার্টের সমস্যার জন্য echosprin 75 , serovas খান , ব্রেইন স্ট্রোক হয়েছে আগে , গা কাঁপে এবং চোখে সরশেফুল দেখে । সমাধান কী ?","৪৮ বছর বয়সী নারী। আগে বড় ধরনের ব্রেইন স্ট্রোক হয়েছিল, হার্টের সমস্যার জন্য নিয়মিত ইকোস্প্রিন ৭৫ ও সেরেভাস খান। এখন হাত-পা কাঁপে, মাথা ঘোরে এবং চোখে ঝাপসা-সর্ষেফুলের মতো দেখেন। কী চিকিৎসা দরকার?"
17306::Non-factual,17306,Non-factual,"আমার আম্মার বয়স ৪৫ . উনি প্রেশারের ট্যবলেট ওসারটিল ৫০ প্লাস খান । উনি ইদানীং খেলে , পেট ভরে নাহ । পেট খালি - ই হয়ে থাকে আর হাত পা কাঁপে । উনার ডায়াবেটিস পরিক্ষা করে খাবার আগে ৫ . ৫ আর খাবারের ২ ঘন্টা পর ১০ . ৮ পাওয়া গেছে । উনার কি ডায়াবেটিস হয়েছে ? ? ? ? ? কাইন্ডলি জানাবেন প্লিজ । হাত পা কাপুনি আর পেট ভরা থাকার জন্য যদি কোনো ঔষধ দিতেন তবে খুব উপকৃত হতাম ।",বয়স ৪৫ । খেলে পেট ভরেনা হাত পা কাপে । ডায়াবেটিস খাবার আগে ৫ . ৫ খাবারের ২ ঘণ্টা পর ১০ . ৮ ।,"বয়স ৪৫। ওসারটিল ৫০ প্লাস খাচ্ছেন। খেলে পেট ভরে না, হাত-পা কাঁপে। ডায়াবেটিস খাবার আগে ৬.৮, খাবারের ২ ঘণ্টা পর ১১.২ পাওয়া গেছে।"
21751::Non-factual,21751,Non-factual,"আমার মায়ের পরিবারের সবার জিনেটিকালি চোখের গ্লোকোমা প্রভলেম । সেইজন্য আমি সনাতন পদ্ধতিতে আমার চোখের প্রেশার পরীক্ষা করাই , রিপোর্ট আসে ডান চোখে - ২০ . ১ মি . মি . আর বাম চোখে ১৮ . ৫ মি . মি । বর্তমানে আমার বয়স ২৪ বছর । আমার প্রশ্ন হচ্ছে , এইটার পরিমাণ কী দিন দিন বৃদ্ধি পাবে ? ? ? এটি দমন করতে বিশেষ কোনো নির্দেশনা কিছু কি ফলো করা লাগবে ? ? ? আর বর্তমান সময়ে আমি কী করতে পারি",বয়স ২৪ । জেনেটিকালি চোখের গ্লোকোমা প্রবলেম । পরীক্ষা করলে চোখের প্রেসার ডান চোখে ২০ . ১ মি . মি ও বাম চোখে ১৮ . ৫ মি . মি । এটা কি দিন দিন বৃদ্ধি পাবে ? কি ওষুধ ?,বয়স ২৪। পরিবারে জেনেটিকালি চোখের গ্লোকোমা প্রবলেম। পরীক্ষা করলে চোখের প্রেসার ডান চোখে ২২.৪ মি.মি ও বাম চোখে ১৯.৮ মি.মি। এটা কি ধীরে ধীরে বাড়বে? টিমোলল ড্রপ বা অন্য কী ওষুধ লাগবে?
19580::Non-factual,19580,Non-factual,"আমার বয়স ৩৩ বছর । আমার ডায়াবেটিকস নেই । তবুও খুবই ঘনঘন / বারেবারে প্রসাব চাপে প্রতি ঘন্টায় ১ বার প্রসাব করতে হয় । প্রসাবের চাপ খুবই বেশি থাকে , যেকারনে প্রসাব না করা পযন্ত অস্বস্তিতে থাকি । জল খুব বেশি পান করা হয়না । সারাদিনে ২ থেকে ৩ লিটার জল পান করা হয় । আমি কিভাবে এই ঘনঘন প্রসাবের থেকে পরিত্রাণ পেতে পারি ।",বয়স ৩৩ । ডায়াবেটিস নেই । ঘন ঘন প্রস্রাব হয় ও চাপ বেশি থাকে । কি করনীয় ?,বয়স ৩৩। ডায়াবেটিস নেই। প্রতি আধা ঘণ্টায় ঘন ঘন প্রস্রাব হয় ও চাপ খুব বেশি থাকে। দিনে প্রায় ৪ লিটার পানি পান করেন। কী করণীয়?
21591::Intrinsic,21591,Intrinsic,আসসালামু আলাইকুম আমার ছোট ভাইকে নিয়ে আমি খুব চিন্তিত আছি । ওর খাদ্যনালীতে মাংস বৃদ্ধি পেয়েছে এন্ডোসকপি করার মাধ্যমে জানতে পেরেছি । ওকে অপারেশন করা হয়েছে । কিন্তু তারপরও ভাল হচ্ছেনা আগের মতনই আছে বমি বমি ভাব থাকছে অলটাইম এবং বমি করছে । আমি কি করতে পারি আর যদি একটু পরামর্শ দিতেন । খুবই উপকৃত হতাম ।,endoscopy তে জানা গেছে খাদ্যনালীতে মাংস বৃদ্ধি পেয়েছে । অপারেশানের পরেও আগের মতনই বমি বমি ভাব এবং বমি হচ্ছে । সমাধান কী ?,এন্ডোস্কপিতে জানা গেছে খাদ্যনালীতে টিউমারের মতো মাংস বৃদ্ধি পেয়েছে। অপারেশনের পরও আগের মতোই সব খাবার খেলেই বমি বমি ভাব ও ঘন ঘন বমি হচ্ছে। এখন কী চিকিৎসা বা করণীয়?
1577::Factual Contradiction,1577,Factual Contradiction,"স্যার , আমার বড় ভাইর বয়স ৩৬ বছর , ওজন ৭০ কেজি , উচ্চতা ৫ ' ৬ "" । আমার ভাইর কিডনিতে পাথর হয়েছে আজকে পাচ বছর , যার পরিমান ১ মিমি । কিন্তু পাথরটি ঔষধ খাওয়ার পর গলে যায় আবার চার ছয় মাস পর আবার দেখা দেয় । পাথর দেখা দেয়ার পর প্রসাবের জ্বালাপোড়া হয় । এ অবস্থা কি করা । ভাই সৌদিতে থাকে ।",বয়স ৩৬ । ৫ বছর হলো কিডনিতে পাথর যা ১ মিমি । ওষুধ খেলে গলে যায় । ৪ মাস পর আবার হয় । পাথরের জন্য প্রস্রাবে জ্বালাপোড়া হয় । কি করনীয় ?,বয়স ৩৬। ৫ বছর হলো কিডনিতে পাথর যা ১ সেমি। ওষুধ খেলেও গলে যায় না। ৪–৬ মাস পর আবার হয় না। পাথর হলে প্রস্রাবে জ্বালাপোড়া হয় না। কী করণীয়?
