id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","## Analysis:

**Step 1: Identify factual claims:**

* The first chairman of Bangladesh Jatiyotabadi Dal was AQM Badruddoza Chowdhury.
* This is because he was the first secretary general.

**Step 2: Check support in Context:**

*  The context states: ""Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen."" (AQM Badruddoza Chowdhury was the first secretary general).
* The context also states: ""Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen."" ( Zia's party included people from all walks of life) and  ""BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti."" (BNP's main principle was its working method).

**Step 3: Verdict:**


The model answer correctly identifies AQM Badruddoza Chowdhury as the first chairman based on the context stating he was the first secretary general. However, it doesn't explicitly mention that the role of ""secretary general"" and ""chairman"" are interchangeable in this context.  

**yes**",yes
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"## Analysis:

**Step 1: Identify factual claims:**

* The model answer states that the Kazakh people's language is Uighur.

**Step 2: Check support in the context:**

* The context mentions Kazakhs as belonging to a family of languages including Uzbek, Kirghiz, Tatar, Uighur, Turkish, Azeri, Turkmen.
* It does **not** explicitly state that Kazakh is *specifically* Uighur.

**Step 3: Verdict:**

The model answer makes a claim not directly supported by the context. While both Kazakh and Uighur belong to the same language family (Turkic), the context doesn't confirm Kazakh as being Uighur.


**no**",no
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"## Analysis:

**Step 1: Identify factual claims:**

The model answer makes two factual claims:

* **Claim 1:** Sui samrajyer prothom somrat chilen Yang Jian.
* **Claim 2:**  Sui samrajyer prothom somrat chilen Naluoyan.

**Step 2: Check support in the context:**

* **Contextual Support for Claim 1:** The context states, ""Tar paribarik nam chilo Yang Jian"". This directly supports Claim 1.
* **Contextual Support for Claim 2:** The context states, ""ebong daknam Naluoyan."" This supports Claim 2.

**Step 3: Final Verdict:**


Both claims made by the model answer are supported by the provided context. Therefore, the model answer is not hallucinating.

**Verdict:** no",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"## Analysis:

**Step 1:** Identify factual claims:

* The model answer claims that the Global Positioning System (GPS) first started operating in a military context in the United States.

**Step 2:** Check support in the Context:

* The context states ""Prothom dike er proyog chilo puropuri shamorik"" which translates to ""Initially, its use was entirely military.""
* It also mentions that later GPS became available for public use.

**Step 3:** Verdict:

The model answer accurately reflects the information provided in the context about the initial military use of GPS.


**Final verdict:** yes",yes
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"## Analysis:

**Step 1: Identify factual claims:**

The model answer makes one factual claim: ""Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo."" (Translation: The monument of the Liberation War was primarily built in the Dhaka University area.)

**Step 2: Check support in the context:**

The context states that the monument was built ""rajhani shohor chariye desher sorbotroi pray royeche"" (meaning it is spread across the capital city and throughout the country). It doesn't specify a particular location like Dhaka University.

**Step 3: Final verdict:**

The model answer hallucinates a specific location for the monument that is not supported by the context.


**Verdict:** yes",yes
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"## Analysis:

**Step 1:** The model answer claims that Bhogini Nibedita first came to India in 1895.

**Step 2:**  The context states that she met Swami Vivekananda in London in 1895 and came to India in 1898.

**Step 3:** The model answer's claim is **not supported** by the context.


**Verdict:** no",no
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"## Analysis:

**Step 1: Identify factual claims:**

The model answer makes one factual claim: ""2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy."" (On September 6, 2018, the legalisation of same-sex marriage was announced in India.)

**Step 2: Check support in the context:**

The provided context discusses the historical and societal perspectives on homosexuality in India. It mentions debates about the acceptance of homosexuality within Hinduism and the fact that homosexuality is a taboo subject in Indian society and government.  

**Crucially, the context does NOT mention any legalisation of same-sex marriage in India.**


**Step 3: Final verdict:**

The model answer hallucinates information not present in the context. 

**Verdict:** yes",yes
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"## Analysis:

**Step 1:** The model answer claims that Jibanananda Das published ""Bonolota Sen"" poems for the first time in **1942**.

**Step 2:**  The context states that Jibanananda Das published Bonolota Sen's third poetry collection in **Bangla 1349, English December 1942**. This aligns with the model answer.

**Step 3:** Since the model answer's claim is directly supported by the context, it is not a hallucination.



**Verdict:** no",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"## Analysis:

**Step 1: Identify factual claims:**

The model answer makes two factual claims:

* **Claim 1:** Steve Jobs was a founder of Apple Incorporated.
* **Claim 2:** Mike Markkula was a founder of Apple Incorporated.

**Step 2: Check support in the Context:**

* **Claim 1:** The context explicitly states that Steve Jobs co-founded ""Apple Computer"" (later Apple Incorporated) with Steve Wozniak and Ronald Wayne. This supports Claim 1.
* **Claim 2:**  The context does not mention Mike Markkula as a founder of Apple.

**Step 3: Final Verdict:**

Since the model answer includes a claim (Mike Markkula being a founder) that is not supported by the context, it is considered hallucinated.



**Verdict:** yes",yes
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"## Analysis:

**Step 1:** The Model Answer claims that the smallest particle in an atom is called a proton.

**Step 2:**  The Context explicitly states ""Poromanur khudrotomo konika electron"" which translates to ""The smallest particle in an atom is an electron"". This directly contradicts the Model Answer's claim.

**Step 3:** Since the Model Answer's claim is not supported by the Context and is factually incorrect, it can be classified as hallucinated.


**Verdict:** yes",yes
