question_id,question,answer,hallucinated_len
f2c9c3efd90ecb9b875f3c41fe446893b92a7ae8,"একজন ট্রলি চালক তার প্রথম স্টপে ১০ জনকে তুলে নিয়েছিলেন। পরের স্টপে, ৩ জন নেমেছে এবং ১ম স্টপেজের দ্বিগুণ লোক উঠেছে। তৃতীয় স্টপে, ১৮ জন নামলেন এবং ২ জন উঠলেন। ট্রলিতে বর্তমানে কতজন লোক আছে?","ট্রলি চালক এবং তার প্রথম ১০ জন গ্রাহকের মধ্যে, ১+১০ = <<১+১০=১১>>১১ জন বর্তমানে ট্রলিতে রয়েছে
তার প্রথম স্টপে, ১০ জন চলে এবং দ্বিতীয় স্টপে তার দ্বিগুণ লোক উঠেছিল তাই ১০*২ = <<১০*২=২০>>২০ জন লোক দ্বিতীয় স্টপে উঠেছিল।
সুতরাং দ্বিতীয় স্টপে তার বোর্ডে ১১ ​​জন ছিল, ৩ জন নেমেছিল এবং ২০ জন উঠেছিল তাই তার এখন ১১-৩+২০ = <<১১-৩+২০=২৮>>২৮ জন রয়েছে
তার তৃতীয় স্টপে ১৮ জন নামল এবং ২ জন উঠল তাই মোট ২৮-১৮ +২ = <<২৮-১৮+২=১২>>ট্রলিতে ১২ জন
#### ১২",459
70ef41011a3004b38c2312233966597bba314e29,"ন্যান্সি তার মাছের জন্য একটি অ্যাকোয়ারিয়াম পানি দ্বারা পূর্ণ করছে। সে অর্ধেকটা পূরণ করার পর দরজা খুলতে যায়। সে চলে যাওয়ার সময়, তার বিড়াল অ্যাকোয়ারিয়ামে ধাক্কা দেয় এবং এতে অর্ধেক পানি ফেলে দেয়। তারপর ন্যান্সি ফিরে আসে এবং অ্যাকোয়ারিয়ামে পানির পরিমাণ তিনগুণ করে। অ্যাকোয়ারিয়ামটি ৪ ফুট লম্বা, ৬ ফুট চওড়া এবং ৩ ফুট উঁচু হলে অ্যাকোয়ারিয়ামে কত ঘনফুট পানি রয়েছে?","প্রথমে অ্যাকোয়ারিয়ামের দৈর্ঘ্য, প্রস্থ এবং উচ্চতা গুণ করে এর আয়তন নির্ণয় করি: ৪ ফুট * ৬ ফুট * ৩ ফুট = <<৪*৬*৩=৭২>>৭২ ঘনফুট
তারপর বিড়ালটি ধাক্কা দেয়ার পর অ্যাকোয়ারিয়ামের কতটুকু পানি ছিল তা বের করি: ১/২ * ১/২ = ১/৪
তারপরে ন্যান্সি পুনরায় পানি দ্বারা পূর্ন কারা করার পরে অ্যাকোয়ারিয়ামের কোন অনুপাত পূর্ণ হয়েছে তা নির্ধারণ করি: ৩ * ১/৪ = ৩/৪
এখন অ্যাকোয়ারিয়ামে কতটা পানি আছে তা জানতে অ্যাকোয়ারিয়ামের আয়তন দিয়ে পূর্ণ অ্যাকোয়ারিয়ামের অনুপাতকে গুণ করি: ৭২ ঘনফুট * ৩/৪ ​​= <<৭২*৩/৪=৫৪>>৫৪ ঘনফুট
#### ৫৪",449
a2c19b1cbc91076f34e48d556aeed1102d76b783,"জুলি তার প্রিয় কাজিনকে তার জন্মদিনের জন্য একটি ৳২৩৪৫ মাউন্টেন বাইক দিতে চায়। এখন পর্যন্ত, তিনি ৳১৫০০ সঞ্চয় করেছেন। যেহেতু জন্মদিন এখনও কয়েক সপ্তাহ বাকি, জুলির আরও বেশি বাঁচানোর সময় আছে। তিনি ২০টি লন কাটার, ৬০০টি সংবাদপত্র সরবরাহ করার এবং তার প্রতিবেশীদের ২৪টি কুকুরকে হাঁটার পরিকল্পনা করেছেন৷ তাকে প্রতিটি লনের জন্য ৳২০, সংবাদপত্র প্রতিটি ৪০ পয়সা এবং কুকুর প্রতি ৳১৫ প্রদান করা হয়। বাইকটি কেনার পর জুলির কত টাকা বাকি থাকবে? ","লন কাটলে জুলি ২০*২০ = <<২০*২০=৪০০>>৪০০ টাকা উপার্জন করবে
সংবাদপত্র সরবরাহ থেকে টাকা তার আয় হবে ৬০০ *৪০/১০০ = <<৬০০*৪০/১০০=২৪০>>২৪০ টাকা
তার প্রতিবেশীর ২৪টি কুকুর হাঁটার পরে, সে ২৪*১৫ = <<২৪*১৫=৩৬০>>৩৬০ টাকা  উপার্জন করবে।
তাই সে মোট ৪০০ + ২৪০ + ৩৬০ = <<৪০০+২৪০+৩৬০=১০০০>>১০০০ টাকা  উপার্জন করবে
তার চাকরি থেকে উপার্জন তার সঞ্চয়ের সাথে একত্রিত করলে জুলি ১০০০ + ১৫০০ = <<১০০০+১৫০০=২৫০০>>২৫০০ টাকা পাবে
মোট থেকে মাউন্টেন বাইকের খরচ বিয়োগ করলে জুলির ব্যালেন্স ২৫০০ - ২৩৪৫ = <<২৫০০-২৩৪৫=১৫৫>>১৫৫ টাকা থাকবে
#### ১৫৫ ",505
35bfaec59b33e8d6a46ec688e844c75c3c297660,"মাখন ৪.২০ টাকার একটি রুটি এবং ২.০৫ টাকায় কিছু পনির কিনেছেন। তিনি ক্যাশিয়ারকে ৭.০০ টাকা দেন। ক্যাশিয়ারের কাছে যদি শুধুমাত্র ১টি কোয়ার্টার এবং ১টি ডাইম থাকে, প্লাস একগুচ্ছ নিকেল থাকে, তাহলে মার্ক তার তার ভাংতি ফেরতে কতটি নিকেল পায়?","প্রথমে মাখনে মুদিখানার দাম বিয়োগ করি যে পরিমাণ টকা তিনি ক্যাশিয়ারকে দেন তা খুঁজে বের করি যে তিনি তার ভাংতি ফেরতে কত পান: ৳৭.০০ - ৳৪.২০ - ৳২.০৫ = ৳<<৭-৪.২-২.০৫=০.৭৫>>০.৭৫
তারপরে নিকেলগুলিতে মাখন কত টাকা দেওয়া হয় তা জানতে সেন্টে এক চতুর্থাংশের মান (২৫) এবং সেন্টে একটি ডাইমের মান (১০) বিয়োগ করি: ৳০.৭৫ - ৳০.২৫ - ৳০.১০ = ৳<<০.৭৫-০.২৫- ০.১০=০.৪০>>০.৪০
এখন নিকেল প্রতি নিকেলের মূল্যকে সেন্টে (৫) দিয়ে ভাগ করে মাখন কতটি নিকেল পায়: ৳০.৪০ / ৳০.০৫/নিকেল = <<০.৪০/০.০৫=৮>>৮ নিকেল
#### ৮",478
e63c49dd60d3f13a4cf841a6f75b3e80a78992da,"আয়ান কিছু ওজন কমাতে চাইছেন. তিনি কিছু ক্যালোরি বার্ন করার জন্য প্রতি রাতে তার অ্যাপার্টমেন্ট কমপ্লেক্সের চারপাশে জগিং শুরু করার সিদ্ধান্ত নেন। তিনি প্রতি রাতে কমপ্লেক্সের চারপাশে ৫ টি ল্যাপ করেন। প্রতিটি ল্যাপ ১০০ ফুট। যদি একটি ক্যালোরি বার্ন করতে ২৫ ফুট জগিং লাগে, তাহলে ৫ দিন এভাবে জগিং করার পর ইয়ান কত ক্যালোরি পোড়াবে?","প্রথমত, আমাদের নির্ধারণ করতে হবে আয়ান এক সপ্তাহে কত ফুট দৌড়ে। আমরা এটি শুরু করি ল্যাপের সংখ্যাকে প্রতি ল্যাপে দৌড়েরসংখ্যা দ্বারা গুণ করে, ৫*১০০= <<৫*১০০=৫০০>>প্রতিদিন ৫০০ ফুট করে।
যেহেতু সময়কাল পরিমাপ করা হচ্ছে ৫ দিন আছে, এর মানে আয়ান ৫০০*৫= <<২৫০০=২৫০০>>২৫০০ ফুট দৌড়ে দৌড়ায়।
যেহেতু একটি ক্যালোরি বার্ন করতে ২৫ ফুট জগিং লাগে, এর মানে আয়ান ২৫০০/২৫=<<২৫০০/২৫=১০০>>১০০ ক্যালোরি পোড়ায় সারা সপ্তাহে জগিং করে।
#### ১০০",420
c8ee20598f75313a1ae07be432792f394eceb754,"ইনস্টাগ্রামে মতিনের ২৪০জন অনুসারী এবং ফেসবুকে ৫০০ জন অনুসারী রয়েছে। টুইটারে তার অনুসারীর সংখ্যা ইনস্টাগ্রাম এবং ফেসবুকে তার অনুসারীর সংখ্যার অর্ধেক। এদিকে,   টিক-টক-এ তার অনুসরণকারীর সংখ্যা টুইটারে অনুসরণকারীদের সংখ্যার ৩ গুণ, এবং টিক-টক-এর চেয়ে  ইউটিউব -এ তার ৫১০ বেশি অনুসারী রয়েছে। মতিনের তার সমস্ত সামাজিক মিডিয়াতে কতজন অনুসারী আছে?","মতিনের ২৪০জন অনুসারী + ৫০০জন অনুসারী = <<২৪০+৫০০=৭৪০>> ইন্সটাগ্রাম  এবং  ফেসবুক -এ ৭৪০জন অনুসারী আছে।
টুইটারে তার ৭৪০ জন অনুসারী / ২ = <<৭৪০/২=৩৭০>>৩৭০জন অনুসারী রয়েছে।
টিকটকে তার ৩৭০ জন অনুসারী x ৩ = <<৩৭০*৩=১১১০>>১১১০ জন অনুসারী রয়েছে।
ইউটিউবে তার ১১১০ জন অনুসারী+ ৫১০ জন অনুসারী = <<১১১০+৫১০=১৬২০>>১৬২০জন অনুসারী আছে।
সামগ্রিকভাবে, ম্যালকমের ৭৪০জন অনুসারী + ৩৭০ জন অনুসারী + ১১১০ জন অনুসারী + ১৬২০ জন অনুসারী= <<৭৪০+৩৭০+১১১০+১৬২০=৩৮৪০>>সোশ্যাল মিডিয়াতে ৩৮৪০ জন অনুসারী রয়েছে।
#### ৩৮৪০",611
07ac2a06c0270b22b42e1d1011f36bb9e6e97e50,"গতকাল বিজ্ঞান ক্লাসে মোট যত শিক্ষার্থী উপস্থিত ছিল তার দ্বিগুণের চেয়ে দশ শতাংশ কম আজ ক্লাস করেছে। যদি গতকাল ক্লাসে ৭০ জন ছাত্র থাকে এবং আজ ৩০ জন ছাত্র অনুপস্থিত থাকে, তাহলে কোর্সের জন্য নিবন্ধিত ছাত্রের সংখ্যা গণনা করুন।","গতকাল বিজ্ঞান ক্লাসে উপস্থিত শিক্ষার্থীর দ্বিগুণ সংখ্যা ৭০*২ = <<৭০*২=১৪০>>১৪০
গতকাল ক্লাসে উপস্থিত শিক্ষার্থীর সংখ্যার দ্বিগুণের চেয়ে দশ শতাংশ কম মানে ১০/১০০*১৪০ = <<১০/১০০*১৪০=১৪>>গতকালের উপস্থিত সংখ্যার দ্বিগুণের চেয়ে ১৪ কম শিক্ষার্থী রয়েছে।
আজ বিজ্ঞান ক্লাসে উপস্থিত শিক্ষার্থীর সংখ্যা ১৪০-১৪ = <<১৪০-১৪=১২৬>>১২৬
যদি আজ অনুপস্থিত কোর্সের জন্য মোট নিবন্ধিত শিক্ষার্থীর সংখ্যা ৩০ হয়, তাহলে বিজ্ঞান কোর্সের একটি পূর্ণ শ্রেণীতে ১২৬+৩০ = ১৫৬ জন শিক্ষার্থী রয়েছে।
#### ১৫৬",425
6a3007bfacf4581deaf91743cc749c256dd8c765,"মারিয়া একটি কুকুর হাঁটুরে। তার কুকুরের ঝাঁক নিয়ে হাঁটার সময়, সে অন্য একজন কুকুর হাঁটুরে এবং তাদের ৩টি কুকুরের লিশে জড়িয়ে পড়ে। লিশে ৩৬ টি পা জড়িয়ে আছে। মারিয়া কতগুলো কুকুর নিয়ে হাঁটছিল? 
","এখানে ২টি কুকুর ওয়াকার আছে এবং তাদের প্রত্যেকের ২টি পা আছে তাই ২*২ = <<২*২=৪>>৪ পা
অন্য কুকুর ওয়াকার ৩টি কুকুর হাঁটছে যার প্রতিটির ৪টি পা রয়েছে যাতে ৩*৪ = <<৩*৪=১২>>১২টি পা
কুকুর হাঁটারদের ৪টি পা এবং অন্যান্য কুকুরের ১২টি পা মোট ৪+১২ = <<৪+১২=১৬>>১৬ পা
মোট ৩৬টি পা রয়েছে এবং ১৬টি কুকুর হাঁটার এবং ৩টি কুকুরের অন্তর্গত তাই ৩৬-১৬টি পাতা = <<৩৬-১৬=২০>>২০ পা
কুকুরের ৪টি পা আছে এবং ২০টি পা আছে তাই মারিয়ার ২০/৪ = ৫ কুকুর হাঁটছে
#### ৫",488
333505962a5cd453ec3f5098f6d2fbbe066ada25,"পলান নামের একজন অ্যালিগেটরকে তার বাড়ি থেকে নীল ডেল্টা যেতে ৪ ঘন্টা লেগেছিল। ফিরতি যাত্রায়, পলান অন্য ছয়টি অ্যালিগেটরের সাথে ভ্রমণ করেছিলেন, নীল নদের ডেল্টায় হেঁটে নীল নদে তাদের বাড়িতে পৌঁছাতে পলান যে যাত্রা করেছিলেন তার চেয়ে ২ ঘন্টা বেশি সময় লাগে। অ্যালিগেটরদের হাঁটার সম্মিলিত সময় কত?","যদি তার বাড়িতে ফেরার যাত্রায়, নীল নদের ব-দ্বীপে ভ্রমণের চেয়ে অ্যালিগেটরটি ২ ঘন্টা বেশি সময় নেয়, পল তার বাড়িতে ফিরে যেতে ৪+২=<<৪+২=৬>>৬ ঘন্টা সময় নিয়েছে।
পল তার বাড়ি থেকে নীল নদের ডেল্টা পর্যন্ত ভ্রমণ করতে এবং ফিরে যেতে মোট সময় নিয়েছে ৬+৪=<<৬+৪=১০>>১০
তার ফিরতি যাত্রায়, পল অন্য ছয়টি অ্যালিগেটরের সাথে ভ্রমণ করেছিলেন, এবং যেহেতু প্রতিটি অ্যালিগেটর তাদের বাড়িতে নীল নদের উপরে ছয় ঘন্টা ভ্রমণ করেছিল, তাই তাদের মোট ৬*৬=<<৬*৬=৩৬>>৩৬ ঘন্টা লেগেছিল। .
পলের সাথে একসাথে, সমস্ত অ্যালিগেটররা ১০+৩৬=<<১০+৩৬=৪৬>>নীল ডেল্টা এবং নীল নদের মধ্যে ভ্রমণ করতে ৪৬ ঘন্টা সময় নেয়।
#### ৪৬",421
2f99f6efd89a9ff9d538b3fa1edd99277cfaa17d,"মেরির ওজনের তুলনায় মিলির ওজন এক-চতুর্থাংশ গুণ বেশি। মেরির ওজন জারিফের ওজনের চেয়ে ২০ পাউন্ড কম। মেরির ওজন ১৬০ পাউন্ড হলে, তিনটির মিলিত ওজন কত?","মেরির ওজন ১৬০ পাউন্ড হলে, জারিফের ওজন ১৬০ পাউন্ড + ২০ পাউন্ড = <<১৬০+২০=১৮০>>১৮০ পাউন্ড।
যদি মিলিএর ওজন মেরির ওজনের থেকে এক-চতুর্থাংশ কম হয়, তাহলে তার ওজন ১/৪ * ১৬০ পাউন্ড = <<১/৪*১৬০=৪০>>৪০ পাউন্ড বেশি।
মিলিএর মোট ওজন হল ১৬০ পাউন্ড + ৪০ পাউন্ড = <<১৬০+৪০=২০০>>২০০ পাউন্ড।
তিনটির মোট ওজন হল ২০০ পাউন্ড + ১৮০ পাউন্ড + ১৬০ পাউন্ড = <<২০০+১৮০+১৬০=৫৪০>>৫৪০ পাউন্ড।
#### ৫৪০",444
