id,question,deepseek_answer,gemma_answer,qwen_answer,correct_answer,deepseek_score,gemma_score,qwen_score
bengali-1047749555961379826-1,অভ্র কিবোর্ড কে উদ্ভাবন করেন ?,আর সাহা,অ্যালান টুইং,ডেভিড ক্যারাহার,মেহদী হাসান খান,0,0,0
bengali--4406976333727853714-0,কুমিল্লা মডার্ণ হাই স্কুলের বর্তমান শিক্ষার্থীর সংখ্যা কত ?,না জানা,জানি না।,অজানা,প্রায় ৫০০০,0,0,0
bengali--5918016160505759655-1,সুই সাম্রাজ্যের প্রতিষ্ঠাতা কে ছিলেন ?,সোভুজা দ্বারা,একটি বর্ণনা দিন।,সুইজারল্যান্ড,ওয়েন,0,0,0
bengali--8808406948073702391-4,আর্সেনাল প্রশিক্ষণ কেন্দ্র কবে তৈরি হয় ?,১৯৭০,জানা নেই।,২০১,১৮৮৬ সালে,0,0,0
bengali-5188008084810080392-0,ব্রিটিশ কাউন্সিলের প্রতিষ্ঠাতা কে ?,উইনস্টন চার্চিলের,মার্কুইস অব ডার্বন,ওয়ালসিংহাম,স্যার রেজিনাল্ড লিপার,0,0,0
bengali--7494701536369664029-4,মিশেল ফুকো রচিত প্রথম গ্রন্থটির নাম কী ?,মিশেল ফুকোর প্রথম গ্রন্থটির,"""আলফাবেটের শেষ""।",ঈতিহাস এবং,Maladie mentale et personnalité,0,0,0
bengali--7593494041891548135-0,"জালিয়ানওয়ালাবাগ হত্যাকাণ্ডের প্রতিবাদে কে ইংরেজ সরকারের দেওয়া ""নাইটহুড"" উপাধি ত্যাগ করেছিল ?",সার মাইকেল ওডিয়ার,স্যার রঘুনাথ মুখার্জী,সিরিল রেডিক,রবীন্দ্রনাথ ঠাকুর,0,0,0
bengali-3112822108051662072-7,রবার্ট জন ডাউনি জুনিয়রের অভিনীত প্রথম চলচ্চিত্রের নির্মাতা কে ছিলেন ?,আলান মেটজার,জ্যাক স্কিলিং,স্টিভ এনজالتز,রবার্ট ডাউনি সিনিয়রে,0,0,0
bengali--6627693430671062547-23,কঙ্কনা সেন শর্মার স্বামীর নাম কী ?,মোহন সেন শর্মা,রাহুল শর্মা,অমিতাভ বচ্চан,রণবীর শুরে,0,0,0
bengali-7646003778499018736-5,ড্রিউ ব্লিথ ব্যারিমোর বাবার নাম কী ?,মাইকেল ব্যারিমোর,ব্যারিমোর।,অলবের্ট,জন ড্রিউ ব্যারিমোর,0,0,0
bengali--7192934383309429412-1,সিলেটের বর্তমান আয়তন কত ?,আপনি গুগল ভিটার বা,"৪,৯১৬ বর্গ কিমি।",৩৪,"১২,৫৯৫.৯৫ বর্গ কিলোমিটার",0,0,0
bengali--7515197175218743652-2,নোমান ইবনে সাবিত ইবনে যুতা ইবনে মারযুবান কত বছর বয়সে প্রথম হজ্জে গিয়েছিলেন ?,১০,১২ বছর।,৩০,ষোল,0,0,0
