id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","Step 1: The factual claims made by the Model Answer are:
- Oddhyapok AQM Badruddoza Chowdhury was the first chairman of Bangladesh Jatiyotabadi Dol.
- He was also the first president (mohasochib) of this party.

Step 2: Checking these claims against the Context:
- The context states that Rashtrapoti Zia was the leader (""somonnoyok"") and the first chairman of the party, not AQM Badruddoza Chowdhury.
- It is mentioned in the context that AQM Badruddoza Chowdhury was indeed the first president (mohasochib) of the party.

Step 3: Based on steps 1-2:
The Model Answer incorrectly identifies AQM Badruddoza Chowdhury as the first chairman, which contradicts the information provided in the context. While it correctly states that he was the first president (mohasochib), this does not equate to being the first chairman.

Final verdict: yes",yes
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"Step 1: The factual claims made by the Model Answer are:
- Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.
(Translation: The language of Kazakh nomads is the Uighur language of the Turkish family.)

Step 2: Checking each claim against the Context:
- The context mentions that the Kazakh eagle hunters are part of a tradition similar to those in other Turkic-speaking groups such as Uzbek, Kirghiz, Tatar, Uighur, Turkish, Azerbaijani, and Turkmen. However, it does not specify that the language of Kazakh nomads is specifically Uighur or even directly state which specific Turkic language they speak.

Step 3: Based on steps 1-2:
The model answer introduces a specific detail (Uighur) about the language spoken by Kazakh nomads that is not supported by the context. The context only mentions that Kazakhs are part of a broader group of Turkic-speaking peoples but does not specify Uighur as their language.

Final verdict: yes",yes
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"Step 1: The factual claims made by the Model Answer are:
- Sui Samrajyer prothom somrat chilen Yang Jian Naluoyan (The first emperor of the Sui dynasty was Yang Jian Naluoyan).

Step 2: Checking each claim against the Context:
- The context states that ""Sui Somrat Wen"" is the first emperor of the Sui dynasty and provides alternative names including ""Yang Jian"", ""Paliuru Jian"", and ""Naluoyan"". Therefore, stating ""Yang Jian Naluoyan"" as the first emperor aligns with the information provided in the context.

Step 3: Based on steps 1-2:
The Model Answer does not introduce any new facts that are not supported by the Context. It correctly identifies Yang Jian (also known as Naluoyan) as the first emperor of the Sui dynasty, which is consistent with the given information.

Final verdict: no",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"Step 1: The factual claims made by the Model Answer are:
- Bishwajonin obosthan-nirnoyok byabostha (Global Positioning System) prothom chalu hoy (was first initiated).
- It was started in Markin Juktorashtrer shamorik khetre (the military context of the United States).

Step 2: Checking these claims against the Context:
- The context mentions that the GPS system was initially used for ""puropuri shamorik"" (purely military) purposes, which aligns with the Model Answer's claim about its initial use in a military context.
- It also states that it was developed by the ""Markin Juktorashtrer protirakkho montronaloy"" (U.S. Department of Defense), indicating that the system originated from the United States.

Step 3: Based on steps 1 and 2, both claims made in the Model Answer are supported by the information provided in the context.

Final verdict: no",no
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"Step 1: The factual claims made by the Model Answer are:
- Shadhinotajuddher bhaskorjo (the sculpture of independence war) was built in Dhaka Bishwobidyaloy elakay (Dhaka University area).

Step 2: Checking these claims against the Context:
- The context mentions that the sculpture is made for the remembrance and to spread awareness about the freedom struggle, but it does not specify where exactly it was built. It only states that it is located in the capital city's vicinity (""rajdhani shohor chariye""), which could be interpreted as being near Dhaka, but not specifically at Dhaka University.

Step 3: Based on steps 1-2:
The model answer specifies a location (Dhaka Bishwobidyaloy elakay) that is not mentioned in the context. The context only indicates it's somewhere around the capital city without specifying if it’s near Dhaka University or any other specific area.

Final verdict: yes",yes
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"Step 1: The factual claim made by the Model Answer is that Bhogini Nibedita first came to India in 1895.
Step 2: Checking this against the Context, we find a discrepancy. According to the provided information, ""1898 sale Bharote chole asen,"" which translates to ""in 1898 she came to India."" The Model Answer states that Bhogini Nibedita first came to India in 1895, which contradicts the Context.
Step 3: Based on steps 1-2, since there is a clear contradiction between the information provided in the context and the model answer regarding the year of her arrival in India, the final verdict must be that the Model Answer contains a hallucination.

Final Verdict: yes",yes
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"Step 1: The factual claims made by the Model Answer are:
- In 2018, specifically on September 6th, it was announced in Bharat that same-sex marriages would be legally recognized.

Step 2: Checking these claims against the Context:
- The provided context does not contain any specific date or year regarding when same-sex marriage became legally recognized in Bharot (Bharat). It discusses the historical and social perspectives on homosexuality within Hindu society but does not mention a particular legal change or announcement date.

Step 3: Based on steps 1-2, the final verdict is that the Model Answer introduces information about a specific date (September 6th, 2018) which is not present in the given context. Therefore, this constitutes hallucination as it adds details not supported by the provided text.

Final verdict: yes",yes
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"Step 1: The factual claim made by the Model Answer is that ""Bonolota Sen"" was first published in 1942.
Step 2: Checking this against the Context:
- The context mentions that Jibanananda Das's third poetry collection titled ""Bonolota Sen"" was published in Bangla year 1349, which corresponds to December 1942 in the Gregorian calendar. This is found in the sentence: ""Bangla 1349, English December 1942 Khrishtabder prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren.""
Step 3: The Model Answer's claim is supported by the Context. Therefore, there is no hallucination.

Final verdict: no",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"Step 1: The factual claims made by the Model Answer are:
- Apple Incorporated er protishthata chhilen Steve Jobs (Apple Inc. was founded by Steve Jobs)
- Mike Markkula was also a founder of Apple Inc.

Step 2: Checking each claim against the Context:
- The context mentions that ""Tini [Steve Jobs] ebong Ronald Wayne-er sathe 1976 Khristabde 'Apple Computer' protistha koren"" (He, along with Steve Wozniak and Ronald Wayne, founded Apple Computer in 1976). This supports the claim about Steve Jobs being a founder but mentions Steve Wozniak and Ronald Wayne instead of Mike Markkula.
- The context does not mention Mike Markkula as one of the founders.

Step 3: Based on steps 1-2, the Model Answer introduces information (Mike Markkula) that is not present in the given Context. Therefore, it contains a hallucination.

Final verdict: yes",yes
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"Step 1: The factual claim made by the Model Answer is that the name of the smallest particle in an atom (poromanur khudrotomo konikar nam) is proton.
Step 2: Checking this against the Context, we find that the context mentions electron as the smallest known particle discovered by Sir J. J. Thomson in 1897. There's no mention of a proton being the smallest particle in an atom according to the given information.
Step 3: Since the Model Answer states that the name is ""proton"" which contradicts the Context where it clearly indicates electron as the smallest known particle, this constitutes a hallucination.

Verdict: yes",yes
