id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","Step 1: Identify each factual claim made by the Model Answer.  
- Claim 1: Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury.  
- Claim 2: Tini prothom mohasochib chilen.  

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states: ""Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren."" This indicates that Zia was the first chairman.  
- The Context also states: ""Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen."" This supports Claim 2 that he was the first general secretary (mohasochib).  

Step 3: Based on steps 1-2, decide the final verdict.  
- Claim 1 is contradicted by the Context, which says Zia was the first chairman, not AQM Badruddoza Chowdhury.  
- Claim 2 is supported by the Context.  
- Since the question asks for the first chairman, and the Model Answer incorrectly names AQM Badruddoza Chowdhury instead of Zia, the Model Answer is hallucinated relative to the Context.  

no",no
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"Step 1: Identify each factual claim made by the Model Answer.  
- Claim 1: Kajakh jatir odhibasider bhasha holo Turki vasha poribarer bhasha.  
- Claim 2: Kajakh jatir odhibasider bhasha holo Uighur bhasha.  

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states that Kazakh (Kajakh) is a member of the Turki language family, along with Uzbek, Kirghiz, Tatar, Uighur, Azeri, Turkmen, and others. So, Claim 1 is supported: Kazakh language belongs to the Turki language family.  
- However, the Context does not say that the Kazakh language is Uighur. It lists Uighur as a separate member of the Turki language family, not as the Kazakh language itself. Therefore, Claim 2 is not supported and is factually incorrect.  

Step 3: Based on steps 1-2, decide the final verdict.  
Since the Model Answer incorrectly states that the Kazakh language is Uighur, which is a different language within the same family, the answer contains hallucination relative to the Context.  

no",no
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"Step 1: Identify each factual claim made by the Model Answer.  
- The first emperor of the Sui dynasty was Yang Jian Naluoyan.

Step 2: For each claim, check whether it is supported by the Context.  
- The context states that Sui Somrat Wen (Sui Wendi) was the first emperor of the Sui dynasty.  
- It also states his family name was Yang Jian and his nickname was Naluoyan.  
- Therefore, the model answer correctly identifies the first emperor of the Sui dynasty as Yang Jian Naluoyan.

Step 3: Based on steps 1-2, decide the final verdict.  
- The model answer is fully supported by the context and contains no hallucination.

no",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"Step 1: Identify each factual claim made by the Model Answer.  
- The global positioning system (GPS) was first started in the military sector of the United States.

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states that GPS was developed by the U.S. Department of Defense in the early 1970s.  
- It also mentions that initially, its use was entirely military (""Prothom dike er proyog chilo puropuri shamorik"").  
- Therefore, the claim that GPS was first started in the U.S. military sector is directly supported by the Context.

Step 3: Based on steps 1-2, decide the final verdict.  
- Since the Model Answer's claim is fully supported by the Context and does not introduce any information beyond it, the answer is not hallucinated.

no",no
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"Step 1: Identify each factual claim made by the Model Answer.  
- The ""shadhinotajuddher bhaskorjo"" (independence war monument) was primarily built in the Dhaka University area.

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states that the monuments were built to commemorate the bloody struggle of the independence war and to pass on the spirit of independence to future generations.  
- It also mentions that these monuments are found almost everywhere throughout the country, including the capital city (Rajdhani shohor), and even in Bengali-inhabited areas outside Bangladesh.  
- However, the Context does not specify any particular location such as the Dhaka University area where the monuments were built.  
- Therefore, the claim that the monument was primarily built in the Dhaka University area is not supported by the Context.

Step 3: Based on steps 1-2, decide the final verdict.  
- Since the specific location ""Dhaka University area"" is not mentioned or supported by the Context, the Model Answer introduces information not present in the Context.  
- This means the Model Answer is hallucinated relative to the given Context.

no",no
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"Step 1: Identify each factual claim made by the Model Answer.  
- Bhogini Nibedita first came to India in the year 1895.

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states: ""1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen."" This means she met Swami Vivekananda in London in 1895 and came to India in 1898.  
- Therefore, the claim that she first came to India in 1895 is not supported; the correct year is 1898.

Step 3: Based on steps 1-2, decide the final verdict.  
- Since the model answer incorrectly states the year as 1895 instead of 1898, it is hallucinated relative to the given context.

no",no
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"Step 1: Identify each factual claim made by the Model Answer.  
- Claim: On 6th September 2018, in India, the marriage of two homosexual individuals was legally recognized.

Step 2: For each claim, check whether it is supported by the Context.  
- The Context discusses the status of homosexuality in India, mentioning that homosexuality has been criminalized in the past and that there are differing opinions among scholars about its acceptance in ancient Hindu society. However, the Context does not mention any specific date or event related to the legal recognition of same-sex marriages in India.  
- There is no mention of the date ""6th September 2018"" or any legal recognition of same-sex marriage in the provided Context.

Step 3: Based on steps 1-2, decide the final verdict.  
- Since the Model Answer provides a specific date and event that is not supported or mentioned in the Context, the answer contains information that is hallucinated relative to the given Context.

yes",yes
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"Step 1: Identify each factual claim made by the Model Answer.  
- The poem ""Bonolota Sen"" by Jibanananda Das was first published in the year 1942.

Step 2: For each claim, check whether it is supported by the Context.  
- The context states that ""Bonolota Sen"" was first published in the December 1942 issue of the magazine ""Kobitar Poush"" (Bangla 1349, English December 1942).  
- This directly supports the claim that the poem was first published in 1942.

Step 3: Based on steps 1-2, decide the final verdict.  
- Since the model answer's claim is directly supported by the context, the answer is not hallucinated.

no",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"Step 1: Identify each factual claim made by the Model Answer.  
- Claim 1: Apple Incorporated er protishthata chhilen Steve Jobs.  
- Claim 2: Apple Incorporated er protishthata chhilen Mike Markkula.  

Step 2: For each claim, check whether it is supported by the Context.  
- The Context states that Steve Jobs, Steve Wozniak, and Ronald Wayne founded ""Apple Computer"" in 1976. It does not mention Mike Markkula as a founder.  
- Therefore, Claim 1 (Steve Jobs as founder) is supported by the Context.  
- Claim 2 (Mike Markkula as founder) is not supported by the Context; there is no mention of him in the provided text.  

Step 3: Based on steps 1-2, decide the final verdict.  
Since the Model Answer includes a person (Mike Markkula) as a founder who is not mentioned in the Context, this part of the answer is hallucinated relative to the given Context.  

no",no
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"Step 1: Identify each factual claim made by the Model Answer.  
- The model answer claims that the smallest particle of an atom (poromanur khudrotomo konika) is called a proton.

Step 2: For each claim, check whether it is supported by the Context.  
- The context states that the smallest particle of an atom is the electron (Poromanur khudrotomo konika electron).  
- It also mentions that J. J. Thomson discovered the electron in 1897, and provides details about the electron's mass and charge.  
- There is no mention in the context that the smallest particle is a proton; in fact, the context explicitly says it is an electron.

Step 3: Based on steps 1-2, decide the final verdict.  
- The model answer incorrectly identifies the smallest particle as a proton, which contradicts the context that clearly states it is an electron.  
- Therefore, the model answer is hallucinated relative to the given context.

no",no
