id,source_id,pattern,document,right_summary,hallucinated_summary
::Intrinsic,,Intrinsic,ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,,ভালুকা উপজেলা প্রায় ৪৫০টি গ্রামের সমন্বয়ে গঠিত।
::Non-factual,,Non-factual,ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,,ভালুকা উপজেলা ৩১২টি গ্রাম নিয়ে গঠিত।
::Factual Contradiction,,Factual Contradiction,ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,,ভালুকা উপজেলা অল্প কয়েকটি গ্রাম নিয়ে গঠিত।
::Intrinsic,,Intrinsic,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্য হিসেবে অধ্যাপক আ আ ম স আরেফিন সিদ্দিকের নাম উল্লেখ করা হয়েছে।
::Non-factual,,Non-factual,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম অধ্যাপক আবদুল মান্নান চৌধুরী কী?
::Factual Contradiction,,Factual Contradiction,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম আ আ ম স আরেফিন সিদ্দিক।
::Intrinsic,,Intrinsic,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,,রিয়াল মাদ্রিদের সর্বপ্রথম সভাপতি হিসেবে সাধারণত সান্তোস পেরালবা-র নাম উল্লেখ করা হয়।
::Non-factual,,Non-factual,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি ছিলেন হুয়ান পাদ্রোস রুবিও।
::Factual Contradiction,,Factual Contradiction,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,,রিয়াল মাদ্রিদ ফুটবল ক্লাবটির প্রথম সভাপতি ছিলেন সান্তিয়াগো বার্নাবেউ।
::Intrinsic,,Intrinsic,ওলন্দাজ-অস্ট্রেলীয় সামরিক কমান্ডো অফিসার উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড কবে জন্মগ্রহণ করেন ?,,উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ডের জন্মসাল ও জন্মতারিখ জানতে চাওয়া হয়েছে।
