id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer
bengali-5447758927889596593-4::factualness,bengali-5447758927889596593-4,factualness,"Ayoton 444.05 borgo kilometer. Eti 1ti thana, 1ti pourashava, 9ti ward, 13ti moholla, 11ti union, 87ti mouza, 110ti gram niye gothito.",Valuka upojela mot koyti gram niye gothito?,110,Valuka upojela mot 108ti gram niye gothito.
bengali-5447758927889596593-4::comprehension,bengali-5447758927889596593-4,comprehension,"Ayoton 444.05 borgo kilometer. Eti 1ti thana, 1ti pourashava, 9ti ward, 13ti moholla, 11ti union, 87ti mouza, 110ti gram niye gothito.",Valuka upojela mot koyti gram niye gothito?,110,Valuka upojela mot 87ti gram niye gothito.
bengali-5447758927889596593-4::specificity,bengali-5447758927889596593-4,specificity,"Ayoton 444.05 borgo kilometer. Eti 1ti thana, 1ti pourashava, 9ti ward, 13ti moholla, 11ti union, 87ti mouza, 110ti gram niye gothito.",Valuka upojela mot koyti gram niye gothito?,110,Valuka upojela motamoti 87ti gram niye gothito.
bengali-5447758927889596593-4::inference,bengali-5447758927889596593-4,inference,"Ayoton 444.05 borgo kilometer. Eti 1ti thana, 1ti pourashava, 9ti ward, 13ti moholla, 11ti union, 87ti mouza, 110ti gram niye gothito.",Valuka upojela mot koyti gram niye gothito?,110,Valuka upojela mot 87ti mouza niye gothito.
bengali-9078535216838685259-0::factualness,bengali-9078535216838685259-0,factualness,Dhaka Bishwabidyaloy Bangladesh-er shobcheye purano bishwabidyaloy. Ei bishwabidyaloy 1921 shale protishthito hoy. Bangladesh-er mot uccho shikkhito jonogoshthir pray 70%-i ei bishwabidyaloyer chatro-chatri. Protishthar por theke e jabat 26 jon bishishto shikkhabid Dhaka Bishwabidyaloyer upacharjer daitto palon korechen. Ei bishwabidyaloyer bortoman upacharjo Mo. Akhtaruzzaman.,Dhaka Bishwabidyaloyer bortoman (2019) upacharyer nam ki?,Mo. Akhtaruzzaman,Dhaka Bishwabidyaloyer bortoman (2019) upacharya chhilen Professor AAMS Arefin Siddique.
bengali-9078535216838685259-0::comprehension,bengali-9078535216838685259-0,comprehension,Dhaka Bishwabidyaloy Bangladesh-er shobcheye purano bishwabidyaloy. Ei bishwabidyaloy 1921 shale protishthito hoy. Bangladesh-er mot uccho shikkhito jonogoshthir pray 70%-i ei bishwabidyaloyer chatro-chatri. Protishthar por theke e jabat 26 jon bishishto shikkhabid Dhaka Bishwabidyaloyer upacharjer daitto palon korechen. Ei bishwabidyaloyer bortoman upacharjo Mo. Akhtaruzzaman.,Dhaka Bishwabidyaloyer bortoman (2019) upacharyer nam ki?,Mo. Akhtaruzzaman,Dhaka Bishwabidyaloyer bortoman upacharya holen Anisuzzaman.
bengali-9078535216838685259-0::specificity,bengali-9078535216838685259-0,specificity,Dhaka Bishwabidyaloy Bangladesh-er shobcheye purano bishwabidyaloy. Ei bishwabidyaloy 1921 shale protishthito hoy. Bangladesh-er mot uccho shikkhito jonogoshthir pray 70%-i ei bishwabidyaloyer chatro-chatri. Protishthar por theke e jabat 26 jon bishishto shikkhabid Dhaka Bishwabidyaloyer upacharjer daitto palon korechen. Ei bishwabidyaloyer bortoman upacharjo Mo. Akhtaruzzaman.,Dhaka Bishwabidyaloyer bortoman (2019) upacharyer nam ki?,Mo. Akhtaruzzaman,Dhaka Bishwabidyaloyer bortoman upacharya shombhoboto Professor Anisuzzaman.
bengali-9078535216838685259-0::inference,bengali-9078535216838685259-0,inference,Dhaka Bishwabidyaloy Bangladesh-er shobcheye purano bishwabidyaloy. Ei bishwabidyaloy 1921 shale protishthito hoy. Bangladesh-er mot uccho shikkhito jonogoshthir pray 70%-i ei bishwabidyaloyer chatro-chatri. Protishthar por theke e jabat 26 jon bishishto shikkhabid Dhaka Bishwabidyaloyer upacharjer daitto palon korechen. Ei bishwabidyaloyer bortoman upacharjo Mo. Akhtaruzzaman.,Dhaka Bishwabidyaloyer bortoman (2019) upacharyer nam ki?,Mo. Akhtaruzzaman,Dhaka Bishwabidyaloyer bortoman upacharya holo 26 jon bishishto shikkhabider moddher Akhtar Karim.
bengali-5846157904123319216-6::factualness,bengali-5846157904123319216-6,factualness,"Atharo shotabdie Institusion Libre de Ensenianjar shikkhabid ebong shikkharthi, Cambridge University ebong Oxford University-er snatokder dara Madrid-e football khela procharer maddhome Real Madrid protisthar vitti gore uthe. 1897 shale, tara (Sociedad) Sky Football name ekti songho protistha koren, jeti La Sociedad (shomaj) namei odhik porichito. Eti seshomoyer Madrid-vittik kheladhular ekmatro songho chilo, jeti proti Robibar sokale Moncloa-y kheltto. 1900 shale, ei songher koyekjoner moddhe dondher srishti howar fole tara Sky Football hote bivokto hoye giye Nueva Sociedad de Football (football-er notun shomaj) name notun ekti club gothon kore. Bivokto hoye",Real Madrid football clubtar sorboprothom shovapoti ke chilen?,Hulian Palakios,Real Madrid football clubtar sorboprothom shovapoti chhilen **Carlos Padros**.
bengali-5846157904123319216-6::comprehension,bengali-5846157904123319216-6,comprehension,"Atharo shotabdie Institusion Libre de Ensenianjar shikkhabid ebong shikkharthi, Cambridge University ebong Oxford University-er snatokder dara Madrid-e football khela procharer maddhome Real Madrid protisthar vitti gore uthe. 1897 shale, tara (Sociedad) Sky Football name ekti songho protistha koren, jeti La Sociedad (shomaj) namei odhik porichito. Eti seshomoyer Madrid-vittik kheladhular ekmatro songho chilo, jeti proti Robibar sokale Moncloa-y kheltto. 1900 shale, ei songher koyekjoner moddhe dondher srishti howar fole tara Sky Football hote bivokto hoye giye Nueva Sociedad de Football (football-er notun shomaj) name notun ekti club gothon kore. Bivokto hoye",Real Madrid football clubtar sorboprothom shovapoti ke chilen?,Hulian Palakios,Real Madrid-er sorboprothom shovapoti chhilen **Sky Football-er protishthata**.
