id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,raw_response,is_hallucinated
bengali--2918201337969727173-3::inference,bengali--2918201337969727173-3,inference,"Jatiyo songsod nirbachon egiye ashle Zia Bangladesh Jatiyotabadi Dol gothon koren. Jagdolke BNP-r sathe ekibhuto kora hoy. Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren. Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen. Ziar ei dole bam, dan, moddhoponthi shob prokar lok chilen. BNP-r shobcheye prodhan boishishto chilo er niyog poddhoti. Pray 45 shotangsho sodossho shudhumatro rajnitite je notun chilen tai noy, tara chilen torun. [4] 1978 saler 1 September bikal 5tay Ramna Restaurant-e Bangladesh Jatiyotab",Bangladesh Jatiyotabadi daler sorboprothom chairman ke chilen?,Jiya,"Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury, karon tini prothom mohasochib chilen.","Okay, let's analyze the model answer step by step.

**Step 1: Factual Claims in the Model Answer**

The model answer makes the following claims:

1.  ""Bangladesh Jatiyotabadi daler sorboprothom chairman chilen Oddhyapok AQM Badruddoza Chowdhury"" - Professor AQM Badruddoza Chowdhury was the first chairman of the Bangladesh Nationalist Party.
2. ""karon tini prothom mohasochib chilen."" - because he was the first general secretary.

**Step 2: Verification against the Context**

Let's examine each claim against the provided context:

*   **Claim 1:** The context states ""Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen."" which translates to ""Professor AQM Badruddoza Chowdhury was the first general secretary"". It *does not* explicitly state that he was the first chairman. However, the context also says ""Rashtrapoti Zia ei doler somonnoyok chilen ebong ei doler prothom chairman-er daitto palon koren."" meaning President Zia held the position of the first chairman. This implies that someone else was the first chairman, and Badruddoza Chowdhury was the first general secretary. The model answer incorrectly equates the two roles.
*   **Claim 2:** The context directly supports this claim: ""Oddhyapok AQM Badruddoza Chowdhury er prothom mohasochib chilen.""

**Step 3: Final Verdict**

The model answer hallucinates information by claiming AQM Badruddoza Chowdhury was the first chairman when the text indicates Zia held that position. While it correctly identifies him as the first general secretary, the core assertion about the chairmanship is false based on the provided context.

no",no
bengali--2120653920804032560-13::inference,bengali--2120653920804032560-13,inference,"dan|thumb|300x300pixel| Altai Tavan Bogd National Park, Mongolia.te Kazakh eagle shikari Kazakh vasha Turki vasha poribar-er ekta sodossho vasha jemon, Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, Turkmen ebong aro kichu vasha jeguli Purbo Europe, Moddho Asia, Xinjiang o Siberia-te byabohrito hoy egulir motoi.",Kajakh jatir odhibasider bhasha ki?,Kazakh,Kajakh jatir odhibasider bhasha holo Turki vasha poribarer Uighur bhasha.,"Okay, let's analyze this.

**Step 1: Factual Claims in the Model Answer**

The model answer makes the following claims:

1.  The language of the Kazakh people's inhabitants is ""Turki vasha poribarer Uighur bhasha"" (Uighur language from the Turkic language family).

**Step 2: Verification Against the Context**

The context states that Kazakh eagle hunters (""Kazakh vasha shikari"") are part of a ""Turki vasha poribar"" (Turkic language family) along with other groups like Uzbek, Kirghiz, Tatar, Uighur, Turki, Azeri, and Turkmen. It doesn't explicitly state that the *language* of the Kazakh people *is* Uighur. It simply places Kazakhs within the broader Turkic linguistic group alongside Uighurs. The context mentions Uighur as one of the languages within the Turkic family. It does not say Kazakh *is* Uighur.

**Step 3: Verdict**

The model answer infers that the language of the Kazakh people is Uighur based on their shared membership in the Turkic language family. This is an overreach and a misrepresentation of the information provided in the context. While both Kazakh and Uighur belong to the Turkic language family, they are distinct languages. Therefore, the answer is hallucinated.

no",no
bengali--1133206861754868399-0::inference,bengali--1133206861754868399-0,inference,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,"Okay, let's analyze the model answer.

**Step 1: Factual Claims in the Model Answer**

The model answer makes the following claims:

1.  Sui samrajyer prothom somrat chilen Yang Jian Naluoyan. (The first emperor of the Sui dynasty was Yang Jian Naluoyan.)

**Step 2: Verification against the Context**

Let's examine if the context supports each claim:

1.  The context states: ""Sui Somrat Wen (Sui Wendi; ... ) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat."" (Sui Wendi was the founder and first emperor of the Sui Dynasty of China (581–618).) It also mentions that his birth name was Yang Jian and his other names were Paliuru Jian and Naluoyan. Therefore, the statement that the first emperor was Yang Jian Naluoyan *is* supported by the context. The context provides both Yang Jian and Naluoyan as names associated with the first emperor.

**Step 3: Final Verdict**

Since all claims made in the model answer are supported by the provided context, there is no hallucination.

no",no
bengali--8878834667713983067-0::comprehension,bengali--8878834667713983067-0,comprehension,"Bishwajonin obosthan-nirnayok byabostha, jake mul English-e Global Positioning System (global positioning system) o songkhepe GPS (GPS) name daka hoy, Markin Juktorashtrer protirakkha montronaloy kortik 1970-er doshoker shurur dike udbhabito ekta projukti.[1] Prothom dike er proyog chilo puropuri shamorik. Pore jonosadharoner nimitthe er byabohar unmukto kora hoy. Eti ekta kritrim upogroho-vittik jogajog byabostha. Jekono abohawate prithibir jekono choloman obosthan ar shomoyer totho sorborah korata er mul kaj. GPS ek dhoroner ekmukhi byabostha karon byaboharkar",Bishwajonin obosthan-nirnoyok byabostha prothom kothay chalu hoy?,1970-er doshoker shurur dike,Markin Juktorashtrer shamorik khetre prothom chalu hoy.,"Okay, let's analyze the model answer.

**Step 1: Identify each factual claim made by the Model Answer.**

The model answer states: ""Markin Juktorashtrer shamorik khetre prothom chalu hoy."" which translates to ""It was first launched in the military sector of Markin Juktorashtrer."" (Markin Juktorashtrer likely refers to the United States).

**Step 2: Check whether it is supported by the Context.**

The context states: ""Prothom dike er proyog chilo puropuri shamorik."" which translates to ""Initially, its use was purely military.""  This directly supports the claim that GPS was initially used in the military sector. The context also identifies Markin Juktorashtrer as the origin of the technology.

**Step 3: Based on steps 1-2, decide the final verdict.**

The model answer accurately reflects information provided in the context. There is no hallucination.

no",no
bengali--3051071168921438198-0::comprehension,bengali--3051071168921438198-0,comprehension,"Bangladesher shadhinotajuddher bhaskorjo nirmito hoyechilo Bangladesher shadhinotajuddher roktokkhoyi songramer smritike lalon korar jonno ebong poroborti projonner kache shadhinotar chetonake probahito korar jonno. Shadhinotajuddho smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche. Emonki Bangladesher baire, Bangali odhyushito oncholeo royeche shadhinotajuddher eshob bhaskorjo.",Bangladesher shadhinotajuddher bhaskorjo Bangladesher kothay nirmito hoyechilo?,Rajdhani shohor chariye desher sorbotroi pray,Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo.,"Okay, let's analyze this.

**Step 1: Factual Claims in the Model Answer**

The model answer makes one primary factual claim: ""Shadhinotajuddher bhaskorjo muloto Dhaka Bishwobidyaloy elakay nirmito hoyechilo."" (The memorial of the Liberation War was primarily built in the Dhaka University area.)

**Step 2: Checking Against the Context**

The context states that these memorials were ""nirmito"" (built) and ""shadhinotajuddher smorone nirmito eshob bhaskorjo rajdhani shohor chariye desher sorbotroi pray royeche."" (These memorials built to commemorate the Liberation War spread throughout the country around the capital city). It also mentions they were present in Bengali settlements abroad.  Crucially, the context *does not* specify that they were primarily built in the Dhaka University area. While it does mention the memorials were spread around the capital, it doesn't pinpoint Dhaka University as the main location of construction.

**Step 3: Verdict**

The model answer introduces a specific location (Dhaka University area) that isn't explicitly mentioned or implied in the provided context. Therefore, the statement is a hallucination.

no",no
bengali-5118137145175085108-0::specificity,bengali-5118137145175085108-0,specificity,"Bhogini Nibedita (Ingreji: Sister Nivedita) (Bengali pronunciation:[sister niːbediːt̪aː]) (jonmo Margaret Elizabeth Noble' (Ingreji: Margaret Elizabeth Noble)[1]; 28 October, 1867 – 13 October, 1911)[2][3] chilen ekjon Anglo-Irish bongshodbhut shomajkormi, lekhika, shikkhika ebong Swami Vivekanander shishya.[4][5] 1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen. Eki bochor 25 March tini brahmacharya grohon korle Swami Vivekananda tar namkoron koren ""Nibedita"".",Bhogini Nibedita kon shale prothom Bharatborshe asen?,1898,Bhogini Nibedita prothom Bharatborshe asen 1895 shale.,"Okay, let's analyze this.

**Step 1: Factual Claims in the Model Answer**

The model answer makes a single factual claim: ""Bhogini Nibedita prothom Bharatborshe asen 1895 shale."" (Sister Nivedita first came to India in 1895.)

**Step 2: Verification Against the Context**

The context states: ""1895 sale London shohore tini Swami Vivekanander shakkhat pan ebong 1898 sale Bharote chole asen."" (In 1895, she met Swami Vivekananda in London and came to India in 1898.)

This directly contradicts the model answer. The context explicitly says she arrived in India in 1898, not 1895.  The 1895 mention refers to meeting Swami Vivekananda in London.

**Step 3: Verdict**

The model answer presents information that is demonstrably false according to the provided context. It hallucinates the year of her arrival in India.

no",no
bengali--2856576533731689599-27::factualness,bengali--2856576533731689599-27,factualness,"Bharoter brihottom dhormo Hindudhormer prodhan dhormogranthogulite somokamitar suspasto ullekh na thakleo, dhormogranther kono kono byakhyake somokamitar birodhi mone kora hoy.[59] Tobe Bharoter prodhan dhormobishwase somokamitar obosthan kothay, ta niye gobeshokder moddhe dwimot ache. Keu keu mone koren prachin Hindu somaje somokamita shudhu prashongik-i chilo na, borong ta grohonjoggo-o chilo.[60] Bortomane Bharote somokamita baidhota peyechhe.[61] Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por",Bharotborshe kon sal theke duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy?,2009 saler 2 July,2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.,"Okay, let's analyze the model answer step by step.

**Step 1: Factual Claims in the Model Answer**

The model answer makes one primary factual claim: ""2018 saler 6 September e Bharat-e duti somokami loker biye-ke aini vabe boidho bole ghoshona kora hoy.""  This translates to ""On September 6, 2018, in India, the marriage of two same-sex couples was declared legally valid.""

**Step 2: Verification Against the Context**

The provided context discusses the historical and current views on homosexuality in India, mentioning its presence in ancient Hindu society, debates about its nature, and its eventual recognition. However, **it does not mention any specific date or event where the marriage of two same-sex couples was declared legally valid.** The text states that ""Otite somokamita Bharotiyo nagorik somaj o sarkarer kache ekta nishiddho bishoy hisebe por"" (Previously, homosexuality was considered a forbidden topic before Indian society and the government), which implies a history of legal restrictions, but doesn't provide details about when those restrictions were lifted or when same-sex marriages were legalized. The context refers to the current status of homosexuality being recognized but does not provide the date of this recognition.

**Step 3: Verdict**

The model answer provides a specific date and event (September 6, 2018, declaration of same-sex marriage validity) that is *not* found within the given context. This constitutes a hallucination. While the broader topic of LGBTQ+ rights and recognition is discussed, the precise detail of the date is fabricated.

no",no
bengali--622926988234538194-4::inference,bengali--622926988234538194-4,inference,"""Bonolota Sen"" kobitati prothom prokash korechhilen kobi Buddhadeb Bosu tar Kobita potrikay. 1935 Khrishtabder December-e prokashito Kobitar Poush, 1342 shongkhar maddhome Bonolota Sen shorboprothom pathoker hate eshe pouchhay. Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren. Kobita-Bhoban kortik prokashito ""Ek Poysay Ekti"" gronthomalaar ontorbhukto hisebe. Prokashok chhilen Jibanananda Das nijei. 16 pithar prothom shongskorone kobita chhilo mot 12ti.","Jibanananda Dash rochito ""Bonolota Sen"" kobitati kon sale prothom prokashito hoy?",1935,1942 shale prothom prokashito hoy.,"Okay, let's analyze the model answer.

**Step 1: Factual Claims in the Model Answer**

The model answer states: ""1942 shale prothom prokashito hoy."" which translates to ""It was first published in 1942."" This refers to the publication of the poem ""Bonolota Sen.""

**Step 2: Verification against the Context**

The context explicitly states: ""Jibanananda Das Bangla 1349, English December 1942 Khrishtabde prokashito tar Bonolota Sen namok tritiyo kabyagranth-e kobitati ontorbhukto koren."" This translates to ""Jibanananda Das published his third collection of poems titled 'Bonolota Sen' in Bangla 1349, December 1942 AD in it included this poem.""

The context confirms that ""Bonolota Sen"" (the collection containing the poem) was published in December 1942. The question asks about the publication of the *poem* itself, and the context indicates the poem was included in the 1942 publication. Therefore, the model answer aligns with the provided context.

**Step 3: Verdict**

The model answer accurately reflects information present in the given context. There's no hallucination.

no",no
bengali-1638855418388935684-0::factualness,bengali-1638855418388935684-0,factualness,"Steve Jobs (puronam: Steven Paul Jobs) (English: Steven Paul ""Steve"" Jobs) (jonmo February 24, 1955, mrityu 5 October 2011)[10][11] Juktorashtrer ekjon uddyokta o projukti udbhabok. Take personal computer biplober pothikrit bola hoy. Tini Steve Wozniak ebong Ronald Wayne-er sathe 1976 Khristabde ""Apple Computer"" protistha koren. Tini Apple Incorporation-er protisthata der onnotomo o sabek prodhan nirbahi kormokorta. Tini ""Pixar Animation Studios""-er o protisthata der onnotomo o sabek prodhan nirbahi kormokorta. 1985 sale Apple Incorporation-er ""Board of Directors-er"" sodoshoder sathe birodhe joriye tini Apple Incorporation the",Apple Incorporated er protishthata ke?,Steve Wozniak ebong Ronald Wayne,Apple Incorporated er protishthata chhilen Steve Jobs ebong Mike Markkula.,"Okay, let's analyze the model answer.

**Step 1: Factual Claims in the Model Answer**

The model answer makes the following claims:

1.  Steve Jobs was among the founders of Apple Incorporated.
2.  Mike Markkula was among the founders of Apple Incorporated.

**Step 2: Verification Against the Context**

1.  **Steve Jobs:** The context explicitly states that Steve Jobs, along with Steve Wozniak and Ronald Wayne, founded ""Apple Computer"" in 1976. This claim is directly supported.
2.  **Mike Markkula:** The context *does not* mention Mike Markkula at all. It only mentions Steve Wozniak and Ronald Wayne as co-founders.

**Step 3: Verdict**

Since the context does not mention Mike Markkula as a founder of Apple Incorporated, the model answer contains a hallucination. It introduces information not present in the provided text.

no",no
bengali-5091763437915482713-4::inference,bengali-5091763437915482713-4,inference,Poromanur khudrotomo konika electron. 1897 Khristabde Sir J. J. Thomson sorboprothom electron-er ostittwo abishkar koren. Ekti electron-er asal vor oti samanno 9.1085×10−28g. Electron-er adhan -1.6×10−19 Coulomb. Electron nucleus-er chardike ghurnayoman. Electron-ke sadharonoto e protik diye prokash kora hoye thake.,Poromanur khudrotomo konikar nam ki?,electron,Poromanur khudrotomo konikar nam proton bola hoy.,"Okay, let's analyze this.

**Step 1: Factual Claims in the Model Answer**

The model answer makes one primary factual claim: ""Poromanur khudrotomo konikar nam proton bola hoy"" which translates to ""The name of poromanur khudrotomo koni is called proton.""

**Step 2: Verification against the Context**

The provided context discusses electrons. It mentions their mass (9.1085×10−28g) and charge (-1.6×10−19 Coulomb). Critically, it *does not* mention protons at all. The entire passage focuses solely on electrons. There's no information whatsoever to support the assertion that the ""poromanur khudrotomo koni"" (which appears to refer to a subatomic particle) is called a proton.  The context describes the properties of electrons, not protons.

**Step 3: Verdict**

Since the model answer states that the particle being discussed (implied to be the same as ""poromanur khudrotomo koni"") is a proton, but the context only discusses electrons and provides no mention of protons, the answer is a hallucination.

no",no
